#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Administración General.                 ,9200,22200,2017-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONIA FIJA DICIEMBRE                                                                                                                                                      ,2083.14
Policía Local                           ,1321,22104,2017-02-13,NAVENDI                                                                                   ,,,1 CUBASQUERO+1 PANTALON LLUVIA XXL PM                                                                                                                                               ,23.35
Parques y jardines                      ,1710,21000,2017-02-13,OCHOA LACAR HERMANOS S.L.                                                                 ,,,ACOPLADOR+TALLO ROSCADO RIEGO JARDINES                                                                                                                                              ,23.63
Servicio Social de Base                 ,2311,22000,2017-02-13,PAPELERA DEL ARGA SA                                                                      ,,,250 PAQUETES PAPEL AYUNTAMIENTO(REPARTIDOS EN SSB Y GRAL)                                                                                                                           ,344.85
Administración General.                 ,9200,22000,2017-02-13,PAPELERA DEL ARGA SA                                                                      ,,,250 PAQUETES PAPEL AYUNTAMIENTO(REPARTIDOS EN SSB Y GRAL)                                                                                                                           ,344.85
Otros servicios comunitarios y sociales ,2399,22799,2017-02-13,PAUMA SL                                                                                  ,,,GESTION SERVICIO CAF ENERO                                                                                                                                                          ,35067.91
Promoción cultural                      ,3340,22750,2017-02-13,POTSELUYEVA                                                                               ,VOLOSOK                                 ,INNA                          ,400 CONOS CHUCHES CABALGATA REYES                                                                                                                                                   ,501.6
Administración General.                 ,9200,21200,2017-02-13,PROYECTO LUZ                                                                              ,,,21 LAMPARAS LED TUBE PARQUING AYUNTAMIENTO                                                                                                                                          ,230.73
Servicio Social de Base                 ,2311,21400,2017-02-13,PUNTO XPRESS MANTENIMIENTO INTEGRAL DEL                                                   ,AUTOMOVIL SL                            ,,VALVULA+DIAGNOSI SISTEMA ELECTRONICO FORD TRAN SSB                                                                                                                                  ,433.18
Parques y jardines                      ,1710,21400,2017-02-13,"REGENAUTO, S.A.                                                                           ",,,3 FILTROS+2 LAMPARAS VEHICULOS JARDINES                                                                                                                                             ,42.07
Administración General.                 ,9200,22000,2017-02-13,REPRONET                                                                                  ,,,DIGITALIZAR PLANO SALESIANOS PARA PRENSA                                                                                                                                            ,6.9
Otros servicios de bienestar comunitario,1690,21300,2017-02-13,ROTULOS LAVIN                                                                             ,,,ROTULACION IVECO SM+4 VINILOS A3 HUERTAS NUEVO CP                                                                                                                                   ,96.8
Funcionamiento de centros docentes de en,3232,21200,2017-02-13,ROTULOS LAVIN                                                                             ,,,ROTULACION IVECO SM+4 VINILOS A3 HUERTAS NUEVO CP                                                                                                                                   ,96.8
Administración General.                 ,9200,21200,2017-02-13,SALTOKI SUMINISTROS ELECTRICOS SL                                                         ,,,1 PULSADOR LUZ VERDE FRONTON EGUES                                                                                                                                                  ,95.59
Desarrollo empresarial.                 ,4330,21200,2017-02-13,"SALTOKI, S.A.                                                                             ",,,1 MANGUITO ANTIVIBRATORIO+BOMBA CALEFACCION VIVERO                                                                                                                                  ,196.66
Administración General.                 ,9200,22000,2017-02-13,SANCHEZ                                                                                   ,INCHAUSTI                               ,FERNANDO                      ,1 SELLO CAUCHO REGISTRO CIVIL+2 SELLOS AYTO+36 ROTULADORES+CUBIERTAS Y CANUTIILLOS ENCUADERNAR                                                                                      ,283.85
Parques y jardines                      ,1710,21000,2017-02-13,SEAL SL                                                                                   ,,,1 DESBROZADORA+1 CORTACESPED+REPARAR TRACTOR+ACEITE                                                                                                                                 ,267.43
Parques y jardines                      ,1710,62300,2017-02-13,SEAL SL                                                                                   ,,,1 DESBROZADORA+1 CORTACESPED+REPARAR TRACTOR+ACEITE                                                                                                                                 ,1494.35
Funcionamiento de centros docentes de en,3232,21200,2017-02-13,"SERVICIOS NAVARRA DE MANTENIMIENTO, S.L                                                   ",(SERNAMAN)                              ,,CAMBIAR GUARDAMOTOR CLIMATIZADOR GIMNASIO CP URIZ                                                                                                                                   ,102.83
Parques y jardines                      ,1710,21000,2017-02-13,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,27 KG SAL EN PIEDRA PARA ATRAER CORZOS Y GRABARLOS                                                                                                                                  ,5.08
Euskera                                 ,3350,22799,2017-02-13,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,SERVICIO CORREOS ENERO (INCLUYE VIALINE)+494 CARTAS CAMPAÑA MATRICULACION EUSKERA                                                                                                   ,207.38
Administración General.                 ,9200,22201,2017-02-13,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,SERVICIO CORREOS ENERO (INCLUYE VIALINE)+494 CARTAS CAMPAÑA MATRICULACION EUSKERA                                                                                                   ,3111.83
Fiestas populares y festejos.           ,3380,22199,2017-02-13,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,GASTOS AUTORES FIESTAS IBIRICU ACORDEONISTA+PANTXO BALBUENA+VICONA                                                                                                                  ,69.99
Fiestas populares y festejos.           ,3380,22199,2017-02-13,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,GASTOS AUTORES FIESTAS BADOSTAIN MARIACHI+MODALIDAD TAQUILLA                                                                                                                        ,89.83
Promoción cultural                      ,3340,22750,2017-02-13,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,GASTOS AUTORES FIESTAS OLAZ LOS HABITUALES+EZK+TXISTULA                                                                                                                             ,212.55
Servicio Social de Base                 ,2311,21400,2017-02-13,TALLERES CR                                                                               ,,,REVISAR AIRBAG FORD TRANSIT SSB                                                                                                                                                     ,58.08
Otros servicios de bienestar comunitario,1690,21300,2017-02-13,TALLERES CR                                                                               ,,,REPARAR CAJA CAMBIOS MITSUBISHI SM                                                                                                                                                  ,1432.64
Policía Local                           ,1321,22199,2017-02-13,TCS SUMINISTROS                                                                           ,,,6 DEFENSA SEMI-RIGIDA+6 ANILLAS+6 ALIVIA PERCUTORES                                                                                                                                 ,206.31
Promoción cultural                      ,3340,22606,2017-02-13,TITOS                                                                                     ,ARREDONDO                               ,ISABEL                        ,"16,5 HORAS CLASES FRANCES B1 Y B1+ ENERO                                                                                                                                            ",577.5
Administración General.                 ,9200,22601,2017-02-13,TXUKUNA FLOWERS SLU                                                                       ,,,CENTRO FLORES PABLO ERROZ (VOLUNTARIO CABALGATA)                                                                                                                                    ,105.01
Parques y jardines                      ,1710,21400,2017-02-13,UNZUE E HIJOS S.L.                                                                        ,,,CADENA MOTOSIERRA                                                                                                                                                                   ,14.74
Empleo social protegido                 ,2412,22199,2017-02-13,UNZUE E HIJOS S.L.                                                                        ,,,CASCO PROTECCION ESP                                                                                                                                                                ,42.41
Parques y jardines                      ,1710,22799,2017-02-13,URBASER SA                                                                                ,,,LABORES MANTENIMIENTO ZONAS VERDES ENERO                                                                                                                                            ,3743.61
Parques y jardines                      ,1710,22799,2017-02-13,URBASER SA                                                                                ,,,MANTENIMIENTO ZONAS VERDES DICIEMBRE                                                                                                                                                ,8141.61
Gestión del sistema tributario.         ,9320,22708,2017-02-13,VIALINE GESTION SL                                                                        ,,,GESTION SANCIONES EJECUTIVA DICIEMBRE                                                                                                                                               ,783.05
Gestión del sistema tributario.         ,9320,22708,2017-02-13,VIALINE GESTION SL                                                                        ,,,IMPUESTOS EJECUTIVA DICIEMBRE 16                                                                                                                                                    ,952.07
Gestión del sistema tributario.         ,9320,22708,2017-02-13,VIALINE GESTION SL                                                                        ,,,COBROS GESTION SANCIONES DICIEMBRE                                                                                                                                                  ,8129
Parques y jardines                      ,1710,22199,2017-02-13,VIVEROS PEDRO AGUIRRE SL                                                                  ,,,2 ROBINIAS+1 ACER PLATANOIDES+1 SORBUS+1 SALIX AUCUPARIA                                                                                                                            ,319.75
Parques y jardines                      ,1710,22199,2017-02-13,VIZCAY HNOS. S.A.                                                                         ,,,4 SACOS 30 KG HORMIGOS SECO+2 ENLACES                                                                                                                                               ,21.51
Promoción cultural                      ,3340,22750,2017-02-13,ZUNZARREN S.L.                                                                            ,,,FABRICACION ADORNO TRASERO CARROZA CABALGATA                                                                                                                                        ,968
Administración General.                 ,9200,22200,2017-02-16,TELEFONICA MOVILES                                                                        ,,,GASTO TELEFONO MOVIL FEBRERO                                                                                                                                                        ,1.74
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2017-02-21,IBERDROLA DISTRIBUCION ELECTRICA S.A.U.                                                   ,,,OBRAS MODIFICACION LINEAS ELECTRICAS ARDANAZ                                                                                                                                        ,3101.18
Fiestas populares y festejos.           ,3380,22199,2017-02-22,IBERDROLA CLIENTES S.A.U.                                                                 ,,,ALTA LUZ CARNAVAL EGUES-IBIRICU (APROB 13/03/17)                                                                                                                                    ,128.59
Alumbrado público.                      ,1650,22100,2017-02-24,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ COPROPIETARIOS FEBRERO                                                                                                                                                    ,12.06
Parques y jardines                      ,1710,22199,2017-02-24,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,4 TRAMPAS RATAS                                                                                                                                                                     ,22.55
Promoción cultural                      ,3340,22606,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,53.2
Promoción y fomento del deporte.        ,3410,22740,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,53.21
Desarrollo empresarial.                 ,4330,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,391.74
Otros servicios de bienestar comunitario,1690,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,421.56
Parques y jardines                      ,1710,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,520.78
Otros servicios comunitarios y sociales ,2399,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,747.76
Escuelas de música                      ,3261,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,1049.19
Consultorios y centros de salud         ,3121,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,1942.45
Administración General.                 ,9200,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,4922.16
Funcionamiento de centros docentes de en,3232,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,LIMPIEZA EDIFICIOS MUNICIPALES ENERO                                                                                                                                                ,12260.53
Escuelas infantiles                     ,3231,44900,2017-02-27,ANDACELAY S.L.                                                                            ,,,GESTION CENTROS 0-3 AÑOS ENERO                                                                                                                                                      ,71086.6
Escuelas infantiles                     ,3231,21200,2017-02-27,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,2 ORDENADOR ESCUELAS I Y III +4 IMPRESORA SSB                                                                                                                                       ,4.77
Administración General.                 ,9200,22000,2017-02-27,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,1 TONER IMP ORDUÑA+16 CARTUCHOS AYTO+TORRE 25 DVD                                                                                                                                   ,354.01
Servicio Social de Base                 ,2311,62600,2017-02-27,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,2 ORDENADOR ESCUELAS I Y III +4 IMPRESORA SSB                                                                                                                                       ,416.21
Escuelas infantiles                     ,3231,62900,2017-02-27,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,2 ORDENADOR ESCUELAS I Y III +4 IMPRESORA SSB                                                                                                                                       ,1398.76
Promoción cultural                      ,3340,22750,2017-02-27,AUTO-RECAMBIOS ATLANTIC S.L.                                                              ,,,CONECTOR BIPOLAR CABALGATA                                                                                                                                                          ,6.8
Promoción de la igualdad efectiva entre ,2391,22699,2017-02-27,CAMINO                                                                                    ,FONSECA                                 ,JOSE IGNACIO                  ,CATERING ACTO FUSILADOS ELIA 11/02/2017                                                                                                                                             ,698.5
Promoción de la igualdad efectiva entre ,2391,22699,2017-02-27,CARMEN Y RAUL ECHARTE VIANA                                                               ,,,2 PLACAS (PEQUEÑA Y GRANDE) HOMENAJE FUSILADOS                                                                                                                                      ,346.07
Promoción cultural                      ,3340,22606,2017-02-27,CLEN COLLEGE                                                                              ,,,"79 HORAS CLASES INGLES A 37,5€ NIÑOS Y ADULTOS ENERO                                                                                                                                ",2950
Escuelas de música                      ,3261,22000,2017-02-27,"DINAFAX, S.L.                                                                             ",,,11.043 COPIAS IMPRESORA ESC MUSICA (FIN 213.881) 19/12 A 17/02                                                                                                                      ,120.26
Administración General.                 ,9200,22000,2017-02-27,"DINAFAX, S.L.                                                                             ",,,12.488  COPIAS BN IMPRESORA PLANTA 1 (FIN 419048) 19/01 A 02/02                                                                                                                     ,135.99
Funcionamiento de centros docentes de en,3232,21200,2017-02-27,DISNAVAL S.L.                                                                             ,,,9 LTS PINTURA CP URIZ PI  ARMARIO HUECO ESCALERAS                                                                                                                                   ,101.64
Otros servicios de bienestar comunitario,1690,21300,2017-02-27,DISNAVAL S.L.                                                                             ,,,4 NEUMATICOS NIEVE PEUGEOT 106 SM                                                                                                                                                   ,182.86
Promoción de la igualdad efectiva entre ,2391,22699,2017-02-27,DUGUNA FOLKLORE TALDEA                                                                    ,,,DANTZA AURRESKU ELIA FUSILADOS                                                                                                                                                      ,150
Desarrollo empresarial.                 ,4330,21000,2017-02-27,ENTIDAD URBANISTICA DE CONSERVACION                                                       ,CIUDAD DE LA INNOVACION                 ,,CUOTA 3 CUATRIMESTRE 2016 MANT CIUDAD INNOVACION 10.3 EP10                                                                                                                          ,464.22
Desarrollo empresarial.                 ,4330,21000,2017-02-27,ENTIDAD URBANISTICA DE CONSERVACION                                                       ,CIUDAD DE LA INNOVACION                 ,,CUOTA 3 CUATRIMESTRE 2016 MANT CIUDAD INNOVACION 10.6 EP12                                                                                                                          ,484.21
Desarrollo empresarial.                 ,4330,21000,2017-02-27,ENTIDAD URBANISTICA DE CONSERVACION                                                       ,CIUDAD DE LA INNOVACION                 ,,CUOTA 3 CUATRIMESTRE 2016 MANT CIUDAD INNOVACION 10.5                                                                                                                               ,1170.53
Servicio Social de Base                 ,2311,22105,2017-02-27,EROSKI S.COOP.                                                                            ,,,520 LT LECHE CESTA BASICA                                                                                                                                                           ,358.8
Administración General.                 ,9200,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,13.08
Parques y jardines                      ,1710,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,48.58
Consultorios y centros de salud         ,3121,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,50.77
Otros servicios comunitarios y sociales ,2399,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,52.95
Otros servicios de bienestar comunitario,1690,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,61.67
Desarrollo empresarial.                 ,4330,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,61.67
Escuelas de música                      ,3261,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,66.03
Escuelas infantiles                     ,3231,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,158.85
Administración General.                 ,9200,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,196.92
Funcionamiento de centros docentes de en,3232,21200,2017-02-27,EXTINIRUÑA S.L.                                                                           ,,,CUOTA 1 TRIMESTRE EXTINTORES Y ALARMAS                                                                                                                                              ,225.39
Parques y jardines                      ,1710,22199,2017-02-27,FERNANDEZ                                                                                 ,BEAUMONT                                ,FELIPE (ALFEFLOR)             ,1 MINI INVERNADERO+75 MACETAS                                                                                                                                                       ,436.44
Otros servicios de atencion social      ,2318,22104,2017-02-27,FISIO MEDICA ACTUAL SL                                                                    ,,,3 BATAS SEÑORA TRABAJADORAS FAMILIARES                                                                                                                                              ,100.66
Empleo social protegido                 ,2419,22706,2017-02-27,FOREM NAVARRA                                                                             ,,,TALLER EMPLEO MODULOS TRANSVERSALES Y MANIPULACION ALIMENTOS                                                                                                                        ,1208.52
Servicio Social de Base                 ,2311,22799,2017-02-27,FOREM NAVARRA                                                                             ,,,TALLER DE INFORMATICA PARA CIUDADANOS                                                                                                                                               ,1594.35
Parques y jardines                      ,1710,22199,2017-02-27,GARCIA                                                                                    ,ERRO                                    ,MIGUEL ANGEL                  ,2 DESATASCADOR+1 NIVEL+1 CEPILLO+10 MASCARILLA+1 PALA+4 MANGOS AZADA                                                                                                                ,495.14
Parques y jardines                      ,1710,21000,2017-02-27,HIDRO SOLAR                                                                               ,,,TESTADOR CLORO LIBRE+REACTIVOS LIQUIDO CLORO LIBRE                                                                                                                                  ,166.91
Funcionamiento de centros docentes de en,3232,21200,2017-02-27,HISPANOFIL                                                                                ,,,10 INTERRUPTORES BLANCOS CP LIZARRAGA                                                                                                                                               ,29.49
Administración General.                 ,9200,21200,2017-02-27,HISPANOFIL                                                                                ,,,MINUTERO AUTOMATICO LUZ APARCAMIENTO AYTO                                                                                                                                           ,34.58
Consultorios y centros de salud         ,3121,21200,2017-02-27,HISPANOFIL                                                                                ,,,200 BRIDA +100 TACO+2 INTERRUPTOR PUERTA CENTRO MEDICO                                                                                                                              ,112.11
Administración General.                 ,9200,21200,2017-02-27,HISPANOFIL                                                                                ,,,CABLEADO INSTALACION IMPRESORA AYTO (PASILLO ALCALDIA)                                                                                                                              ,225.74
Promoción y fomento del deporte.        ,3410,22740,2017-02-27,HUARTE GRAFICA S.A.L.                                                                     ,,,100 CARTELES JORNADAS DEPORTE IGUALDAD+6 TEATRO+20 CARTELES CUENTO CARNAVAL                                                                                                         ,94.38
Promoción cultural                      ,3340,22750,2017-02-27,HUARTE GRAFICA S.A.L.                                                                     ,,,100 CARTELES JORNADAS DEPORTE IGUALDAD+6 TEATRO+20 CARTELES CUENTO CARNAVAL                                                                                                         ,145.2
Promoción y fomento del deporte.        ,3410,21200,2017-02-27,HUMICLIMA NORTE S.A.                                                                      ,,,MANTENIMIENTO CALEFACCION BAR PISCINAS                                                                                                                                              ,472.5
Parques y jardines                      ,1710,22199,2017-02-27,IMPROFORT                                                                                 ,,,75 UD TUTOR ACACIA 170 CM                                                                                                                                                           ,93.47
Promoción de la igualdad efectiva entre ,2391,22706,2017-02-27,IRIARTE                                                                                   ,ALONSO                                  ,JORGE                         ,6 MUPIS CAMPAÑA 8 MARZO DIA DE LA MUJER                                                                                                                                             ,217.8
Promoción cultural                      ,3340,22750,2017-02-27,IRIARTE                                                                                   ,ALONSO                                  ,JORGE                         ,8 MUPIS CAMPAÑA TEATRO                                                                                                                                                              ,435.6
Servicio Social de Base                 ,2311,22799,2017-02-27,IRIARTE                                                                                   ,SULLEIRO                                ,MIEKE                         ,TALLER GLOBOFLEXIA EN CAF +PREPARACION DIA INFANCIA                                                                                                                                 ,520
Otros servicios de bienestar comunitario,1690,22110,2017-02-27,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,1 BOTELLA SUAVIZANTE 4 LT+DETERGENTE LIQUIDO SM                                                                                                                                     ,10.01
Funcionamiento de centros docentes de en,3232,21200,2017-02-27,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,25 PAQUETES BOLSA BASURA CP LIZARRAGA                                                                                                                                               ,61.71
Otros servicios de bienestar comunitario,1690,22110,2017-02-27,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,3 X 5 LT GEL DE MANOS NAVE SM                                                                                                                                                       ,86.87
Servicio Social de Base                 ,2311,22105,2017-02-27,LA MANDUCA DE GORRAIZ                                                                     ,,,189 HUEVOS CESTA BASICA                                                                                                                                                             ,237.84
Administración General.                 ,9200,22300,2017-02-27,"LOARRE MENSAJEROS, S.L.U                                                                  ",,(MRW)                         ,SERVICIOS MENSAJERIA ENERO                                                                                                                                                          ,85.46
Parques y jardines                      ,1710,22199,2017-02-27,MADERAS BAGUA SL                                                                          ,,,120 PIQUETES DE PINO                                                                                                                                                                ,493.68
Parques y jardines                      ,1710,22199,2017-02-27,MADERPLAY S.L.                                                                            ,,,6 POSTES MACIZOS TESTAS REDONDAS                                                                                                                                                    ,98.43
Otros servicios de bienestar comunitario,1690,21300,2017-02-27,MESSER IBERICA DE GASES                                                                   ,,,ALQUILER FIJO ANUAL BOTELLA OXIGENO PARA SOLDAR                                                                                                                                     ,42.31
Otros servicios de bienestar comunitario,1690,21300,2017-02-27,NACOHI                                                                                    ,,,MANGUERA+REPARAR LATIGUILLO+ABRAZADERA BARREDORA                                                                                                                                    ,48.61
Funcionamiento de centros docentes de en,3232,21200,2017-02-27,ORONA S. COOP                                                                             ,,,MANTENIMIENTO ASCENSOR CP URIZ PI 01/17 -03/17                                                                                                                                      ,337.59
Funcionamiento de centros docentes de en,3232,21200,2017-02-27,ORONA S. COOP                                                                             ,,,CONTRATO MANTENIMIENTO ASCENSOR CP LIZARRAGA  01/17 -03/17                                                                                                                          ,399.3
Administración General.                 ,9200,21200,2017-02-27,ORONA S. COOP                                                                             ,,,MANTENIMIENTO 2 ASCENSORES+PUERTA AUTOMATICA  AYTO 1 TRIMESTRE                                                                                                                      ,980.1
Promoción de la igualdad efectiva entre ,2391,22706,2017-02-27,PAUMA SL                                                                                  ,,,7.5 HORAS RESPIRO FAM. PARA TALLER AUTOCONOCIMIENTO Y DESARROLLO ENERO                                                                                                              ,181.5
Administración General.                 ,9200,22604,2017-02-27,PEREZ                                                                                     ,RUIZ                                    ,ARANCHA                       ,RECURSO APELACION 125/16 ART. 73 BLANCA CHIVITE RESP.PATRIM. ICIO                                                                                                                   ,999.93
Empleo social protegido                 ,2419,22706,2017-02-27,PROMYART                                                                                  ,,,3 BOLIS USB PERSONALIZADOS. OBSEQUIO JURADO ENTREGA PREMIOS PROMOCION COMERCIAL                                                                                                     ,76.64
Empleo social protegido                 ,2419,22706,2017-02-27,PROMYART                                                                                  ,,,15 USB PERSONALIZADOS. OBSEQUIO COMERCIANTES ENTREGA PREMIOS PROMOCION COMERCIAL                                                                                                    ,189.61
Administración General.                 ,9200,21200,2017-02-27,PROYECTO LUZ                                                                              ,,,10 LAMPARAS GUARDERIA+LAMPARA MAQUESINA IBIRICU                                                                                                                                     ,22.26
Escuelas infantiles                     ,3231,21200,2017-02-27,PROYECTO LUZ                                                                              ,,,10 LAMPARAS GUARDERIA+LAMPARA MAQUESINA IBIRICU                                                                                                                                     ,96.11
Promoción y fomento del deporte.        ,3410,48200,2017-02-27,RED DE CIUDADES POR LA BICICLETA                                                          ,,,CUOTA ANUAL SOCIO RED BICICLETA PLENO 03/05/16                                                                                                                                      ,600
Parques y jardines                      ,1710,21000,2017-02-27,REGABER                                                                                   ,,,4 KIT COMPLETOS+4 JUNTA TORICA+4 JUNTA CUERPO DRENAJE                                                                                                                               ,909.39
Otros servicios de bienestar comunitario,1690,21300,2017-02-27,REGENAUTO EQUIPOS Y SERVICIOS S.L.                                                        ,,,REPARAR CARGADOR BATERIAS                                                                                                                                                           ,97.66
Policía Local                           ,1321,22000,2017-02-27,RICOH ESPAÑA SLU                                                                          ,,,CARTUCHO DE IMPRESION NEGRO PM                                                                                                                                                      ,85.96
Promoción de la igualdad efectiva entre ,2391,22699,2017-02-27,ROTULOS LAVIN                                                                             ,,,ROLL UP (SOPORTE+LONA) EXPOSICION AYTO DE FUERTE SAN CRISTOBAL                                                                                                                      ,129.47
Empleo social protegido                 ,2419,22706,2017-02-27,SERRANO                                                                                   ,PEREZ                                   ,OSCAR                         ,LUNCH ENTREGA PREMIOS CONCURSO PROMOCION COMERCIAL                                                                                                                                  ,367.8
Otros servicios de bienestar comunitario,1690,21900,2017-02-27,"SIGNOS VIALES, S.L.                                                                       ",,,10 CARTEL(LIMIT VELOC Y CALLE SIN SALIDA ENBADOSTAIN)+4 PLACAS+2 SEÑAL CIRCULAR                                                                                                     ,1473.76
Parques y jardines                      ,1710,22199,2017-02-27,SYS AGROSAL                                                                               ,,,8 BIDON 80LT SUBSTRATO UNIVERSAL                                                                                                                                                    ,74.46
Parques y jardines                      ,1710,22199,2017-02-27,SYS AGROSAL                                                                               ,,,MANTA YUTE ROLLO+2 CUPRESSUS+16 BANDEJAS                                                                                                                                            ,144.2
Servicio Social de Base                 ,2311,21400,2017-02-27,TALLERES CR                                                                               ,,,FORD TRANSIT SSB DIAGNOSIS AIRBAG+TERMINALES                                                                                                                                        ,293.81
Servicio Social de Base                 ,2311,21400,2017-02-27,TALLERES CR                                                                               ,,,FORD TRANSIT SSB CAMBIO CINTURON SEGURIDAD                                                                                                                                          ,348.63
