#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22750,2016-01-04,GOLOSINAS SAGASTI S.L.                                                                    ,,,40 KG CARAMELOS+GLOBOS (VARIOS CABALGATA REYES)                                                                                                                                     ,187.57
Euskera                                 ,3350,22799,2016-01-26,GRAFICAS BIAK SL                                                                          ,,,900 CATALOGOS PDTOS EN EUSKERA+50 CARTELES:FOMENTO LECTURA Y PDTOS CULTURALES INFANCIA Y JUVENTUD                                                                                   ,726.98
Ordenación del tráfico y del estacionami,1330,22701,2016-01-26,"GRUAS ABAYA, S.L.                                                                         ",,,RETIRADA VEHICULOS 01 Y 09/12/2015                                                                                                                                                  ,155.8
Administración General.                 ,9200,22602,2016-01-26,HEDA COMUNICACION                                                                         ,,,8000 REVISTAS ZE BERRI 116 DICIEMBRE                                                                                                                                                ,799.4
Parques y jardines                      ,1710,21000,2016-01-26,HIDRO SOLAR                                                                               ,,,12 BIDONES HIPOCLORITO SODICO DISOLUCION 16%                                                                                                                                        ,217.22
Otros servicios comunitarios y sociales ,2399,21200,2016-01-26,HISPANOFIL                                                                                ,,,1 MECANISMO INTERRUPTOR UNIP. PARA CAF                                                                                                                                              ,2.55
Administración General.                 ,9200,21200,2016-01-26,HISPANOFIL                                                                                ,,,INSTALACION DE LUCES EN CAMION AYTO CABALGATA                                                                                                                                       ,171.36
Administración General.                 ,9200,21200,2016-01-26,HUNE RENTAL S.L.                                                                          ,,,ALQUILER MAQUINA PARA LUCES EN CARPAS NAVIDAD                                                                                                                                       ,81.07
Promoción cultural                      ,3340,46800,2016-01-26,HURTADO                                                                                   ,GARCIA                                  ,FERMIN                        ,MODELADO GIGANTES DEL VALLE 22X7 CM: 50 HORAS+MATERIALES+DECORACION                                                                                                                 ,1140
Alumbrado público.                      ,1650,22100,2016-01-26,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO ELECTRICIDAD ALUMBRADO PUBLICO ENERO 2016 COPROPIETARIOS                                                                                                                      ,14.16
Otros servicios de atencion social      ,2318,22104,2016-01-26,INTERSPORT IRABIA S.L.                                                                    ,,,VESTUARIO INVIERNO PERSONAL SAD                                                                                                                                                     ,1251.6
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2016-01-26,"IPLAY URBAN DESIGN, SL                                                                    ",,,PRENSA PIERNAS PRENSA HOMBROS ELIPTICA EN IBIRIKU Y SAGASETA                                                                                                                        ,6703.4
Parques y jardines                      ,1710,22799,2016-01-26,IRAOLA-ARTETA S.L.                                                                        ,,,"1,5 H CARGAR AGUA LIMPIEZA POZO HUERTAS                                                                                                                                             ",129
Promoción y fomento del deporte.        ,3410,22740,2016-01-26,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,30 BOLSA CELEA+1 DETERGENTE+1 SUAVIZANTE (SM)+24 PACK VASO PLASTICO S.SILVESTRE+3 P.HIGIENICO+3 SCOTT TOALLA (AYTO)                                                                 ,58.08
Otros servicios de bienestar comunitario,1690,22110,2016-01-26,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,30 BOLSA CELEA+1 DETERGENTE+1 SUAVIZANTE (SM)+24 PACK VASO PLASTICO S.SILVESTRE+3 P.HIGIENICO+3 SCOTT TOALLA (AYTO)                                                                 ,70.48
Otros servicios comunitarios y sociales ,2399,22110,2016-01-26,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,KLEENES TOALLA Y PAPEL HIGIENICO CAF                                                                                                                                                ,125.61
Administración General.                 ,9200,22110,2016-01-26,IRIGUIBEL DISTRIBUCIONES S.L.                                                             ,,,30 BOLSA CELEA+1 DETERGENTE+1 SUAVIZANTE (SM)+24 PACK VASO PLASTICO S.SILVESTRE+3 P.HIGIENICO+3 SCOTT TOALLA (AYTO)                                                                 ,229.89
Funcionamiento de centros docentes de en,3232,21200,2016-01-26,IROTZ LIMPIEZAS TECNICAS                                                                  ,,,LIMPIEZA LOCALES TRAS JORNADA ELECTORAL: C.P+GUARERIA+BIBLIOTECA+CONSULTORIO Y GUARDERIA GORRAIZ                                                                                    ,550.55
Euskera                                 ,3350,22799,2016-01-26,"IRUÑEKO KOMUNIKABIDEAK, S.                                                                ",EUSKALERRIA IRRATIA                     ,,ANUNCIO PUBLICIDAD Sº EUSKERA: LIZENTZIAREN ALDIZKARIA ORRIALDE ERDIKO IRAGARKIA                                                                                                    ,363
Fiestas populares y festejos.           ,3370,22799,2016-01-26,"JANGARRIA,S.L.U.                                                                          ",,,"CAMPAMENTO EGULBATI AGOSTO: 390MENUSX3,95 €                                                                                                                                         ",1694.55
Parques y jardines                      ,1710,21000,2016-01-26,JON NAVARRA S.L.                                                                          ,,,"CODO,ENLACE TAPAPOROS JARDINES                                                                                                                                                      ",33.87
Administración General.                 ,9200,21200,2016-01-26,LA INDUSTRIAL FERRETERA S.L.                                                              ,,,5 ADAPTADOR CILINDRO CONDENA 4 CERRADURA C.CONSISTORIAL                                                                                                                             ,63.95
Servicio Social de Base                 ,2311,22105,2016-01-26,LA MANDUCA DE GORRAIZ                                                                     ,,,246 HUEVOS M NOVIEMBRE                                                                                                                                                              ,309.57
Servicio Social de Base                 ,2311,22105,2016-01-26,LA MANDUCA DE GORRAIZ                                                                     ,,,249 HUEVOS M DICIEMBRE 12 BOTELLAS AGUA(VOLUNTARIOS)                                                                                                                                ,316.34
Euskera                                 ,3350,22799,2016-01-26,LABRIT MULTIMEDIA S.L                                                                     ,,,110 LIBRO+DVE: FAMILIAREKIN JOLASEAN ETA SOLASEAN: CAMPAÑA DE TRANSMISION                                                                                                           ,1165.32
Parques y jardines                      ,1710,22110,2016-01-26,LAVANDERIA BLANCO                                                                         ,,,LIMPIEZA PRENDAS JARDINES DICIEMBRE                                                                                                                                                 ,202.74
Administración General.                 ,9200,22300,2016-01-26,"LOARRE MENSAJEROS, S.L.U                                                                  ",,(MRW)                         ,ENVIOS MES DE DICIEMBRE                                                                                                                                                             ,228.75
Administración General.                 ,9200,21200,2016-01-26,"LUMINOSOS ARGA, SL                                                                        ",,,BELEN IMPRESO EN PVC PARA GORRAIZ                                                                                                                                                   ,181.5
Euskera                                 ,3350,22799,2016-01-26,MARTINEZ                                                                                  ,MATEO                                   ,PATRICIA                      ,2 PANEL-EXPOSICION (ROLLER) 25 ANIVERSARIO SºS EUKERA                                                                                                                               ,138.99
Euskera                                 ,3350,22799,2016-01-26,MUJIKA                                                                                    ,MUJIKA                                  ,IZASKUN                       ,CURSILLO NARRACION EUSKERA PADRES MADRES                                                                                                                                            ,200
Administración General.                 ,9200,62700,2016-01-26,ON DEMAND FACILITIES                                                                      ,,,50%CUADRO MEDIDA Y CONTROL EN. ELECTRICA EN C. CONSISTORIAL                                                                                                                         ,3630
Administración General.                 ,9200,22604,2016-01-26,PEGENAUTE                                                                                 ,GARDE                                   ,LUIS Mª                       ,NOTARIO ESCRITURA DONACION PARCELA ARZOBISPADO                                                                                                                                      ,411.8
Promoción cultural                      ,3340,22750,2016-01-26,POTSELUYEVA                                                                               ,VOLOSOK                                 ,INNA                          ,600 CONOS DE CHUCHERIAS CARTEROS REALES Y CABALGATA                                                                                                                                 ,750
Parques y jardines                      ,1710,21400,2016-01-26,REVISIONES DE NAVARRA S.A.                                                                ,,,ERROR CUENTA BANCARIA CARGO ITV 1452 CHC JARDINES 20/01/2016                                                                                                                        ,-37.05
Parques y jardines                      ,1710,21400,2016-01-26,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV 1452 CHC JARDINES 20/01/2016                                                                                                                                                    ,37.05
Parques y jardines                      ,1710,21400,2016-01-26,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV 1452 CHC JARDINES 20/01/2016                                                                                                                                                    ,37.05
Euskera                                 ,3350,22799,2016-01-26,REY                                                                                       ,ESCALERA                                ,FERNANDO                      ,CHARLA SOBRE DIALECTOLOGIA                                                                                                                                                          ,200
Policía Local                           ,1321,22000,2016-01-26,RICOH ESPAÑA SLU                                                                          ,,,FOTOCOPIAS POLICIA AGOSTO A NOVIEMBRE                                                                                                                                               ,226.65
Parques y jardines                      ,1710,21000,2016-01-26,ROTULOS LAVIN                                                                             ,,,13 PANEL ITINERARIO TURISTICO Y PANEL ELIA 92X72                                                                                                                                    ,1076.9
Escuelas de música                      ,3261,22000,2016-01-26,SANCHEZ                                                                                   ,INCHAUSTI                               ,FERNANDO                      ,"CARTUCHO TINTA,MAT OF. ESC.MUS Y OTROS AYTO                                                                                                                                         ",108.82
Administración General.                 ,9200,22601,2016-01-26,SANCHEZ                                                                                   ,INCHAUSTI                               ,FERNANDO                      ,"CARTUCHO TINTA,MAT OF. ESC.MUS Y OTROS AYTO                                                                                                                                         ",172.63
Parques y jardines                      ,1710,21400,2016-01-26,SEAL SL                                                                                   ,,,REPARACION MOTOSIERRA HUSQVARNA JARDINES                                                                                                                                            ,339.01
Parques y jardines                      ,1710,21400,2016-01-26,SEAL SL                                                                                   ,,,2 REPARACION CORTACESPED VIKING MB4RTP+1 REPARACION CORTACESPED TRACOR DIC.15                                                                                                       ,348.78
Otros servicios de bienestar comunitario,1690,21900,2016-01-26,"SIGNOS VIALES, S.L.                                                                       ",,,1 SEÑAL PROHIBIDO PASO EXC.VECINOS ELCANO                                                                                                                                           ,97.14
Parques y jardines                      ,1710,22199,2016-01-26,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,SUSTRATO BLUMENERDE VINO SAN SILVESTRE                                                                                                                                              ,9.52
Promoción y fomento del deporte.        ,3410,22740,2016-01-26,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,SUSTRATO BLUMENERDE VINO SAN SILVESTRE                                                                                                                                              ,56.23
Administración General.                 ,9200,22000,2016-01-26,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,CORREOS MES DE DICIEMBRE                                                                                                                                                            ,3061.95
Promoción cultural                      ,3340,22750,2016-01-26,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,DCHOS AUTOR FIESTAS IBIRICU 4 Y 5 DE SEPTIEMBRE                                                                                                                                     ,53.99
Promoción cultural                      ,3340,22750,2016-01-26,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,DCHOS AUTOR FIESTAS DE BADOSTAIN 30-31 AGOSTO                                                                                                                                       ,156.82
Fiestas populares y festejos.           ,3380,22620,2016-01-26,SOCIEDAD GENERAL DE AUTORES Y EDITORES                                                    ,,,DCHOS DE AUTOR FIESTAS GORRAIZ                                                                                                                                                      ,379.32
Parques y jardines                      ,1710,22199,2016-01-26,SYS AGROSAL                                                                               ,,,1 PHOTINIA FR RED ROBIN 100-120 CM                                                                                                                                                  ,25.87
Parques y jardines                      ,1710,21400,2016-01-26,TALLERES CLEMENTE S.I.                                                                    ,,,KIT PATIN FRENO+MANO OBRA+FUSIBLES CUCHILLA: TRACTOR JARDINES                                                                                                                       ,193.16
Policía Local                           ,1321,22199,2016-01-26,TCS SUMINISTROS                                                                           ,,,SERIGRAFIA CHALECOS Y 2 FUNDAS CHALECOS ANTIBALAS                                                                                                                                   ,200.86
Promoción cultural                      ,3340,22750,2016-01-26,"TEATRO PARAISO, S.A.L.                                                                    ",,,2 REPRESENTACION INFANTIL 27 DIC (EUSK-CASTEL) EN CD SARRIGUREN                                                                                                                     ,2420
Transporte público.                     ,4411,22730,2016-01-26,TELETAXI SAN FERMIN                                                                       ,,,32 VIAJES TAXI DICIEMBRE  BADOSTAIN PAMPLONA                                                                                                                                        ,360.99
Funcionamiento de centros docentes de en,3232,62500,2016-01-26,THOMANN MUSIKHAUS                                                                         ,,,EQUIPO DE SONIDO PARA NUEVO COLEGIO PUBLICO:THOMANN MIX CASE+BEHRINGER XENYX+THE BOX MA120+MILLENIUM BS-2211                                                                        ,2712.1
Promoción y fomento del deporte.        ,3410,21200,2016-01-26,TOLDOS Y TAPICERIA URCA S.L.                                                              ,,,REPARAR LONA INDUSTRIAL Y LONA PISC OLAZ                                                                                                                                            ,160
Gestión del sistema tributario.         ,9320,22706,2016-01-26,TRABAJOS CATASTRALES S.A.                                                                 ,,,MANTENIMIENTO CATASTRO NOV.15                                                                                                                                                       ,206.33
Servicio Social de Base                 ,2311,22105,2016-01-26,"TRANSPORTES LIZARRALDEA, S.L.                                                             ",,,TRANSPORTE CAMION BANCO ALIMENTOS (15-12-15)                                                                                                                                        ,206.35
Promoción cultural                      ,3340,22750,2016-01-26,TRUKE GESTION Y DISTRIBUCION SLU                                                          ,,,CUENTACUENTOS EVA AZPILIKUETA 26-12 BIBLIOTECA                                                                                                                                      ,290.4
Bibliotecas públicas.                   ,3321,22750,2016-01-26,TRUKE GESTION Y DISTRIBUCION SLU                                                          ,,,CUENTACUENTOS LUR USABIAGA 24-12 EN BIBLIOTECA                                                                                                                                      ,290.4
Euskera                                 ,3350,22799,2016-01-26,TTIPI-TTAPA FUNDAZIOA                                                                     ,,,6000 CALENDARIOS BOLSILLO 2016/17 (REPARTO EN DOMICILIOS)+30 PARA PUESTOS TRABAJO CON PERSONAL EUSKALDUN                                                                            ,398.71
Euskera                                 ,3350,22799,2016-01-26,TTIPI-TTAPA FUNDAZIOA                                                                     ,,,LIBROS CAMPAÑA TRANSMISION 2015 (ESCOLARIZACION MODELO D): 100 DUZUN OMENA+200 BAKOITZARI BEREA+100 OPARI BAT                                                                       ,586.23
Parques y jardines                      ,1710,21400,2016-01-26,UNZUE E HIJOS S.L.                                                                        ,,,"AFILAR MOLINETES, NEUMATICOS,CUCHILLAS, CORREAS JARDINES                                                                                                                            ",1046.02
Parques y jardines                      ,1710,22799,2016-01-26,URBASER SA                                                                                ,,,MANTENIMIENTO ZONAS VERDES MES DICEIMBRE                                                                                                                                            ,6803.13
Parques y jardines                      ,1710,22799,2016-01-26,VERMICAN SOLUCIONES DE COMPOSTAJE SL                                                      ,,,ASISTENCIA TECNICA HUERTOS MES DE NOVIEM                                                                                                                                            ,1058.75
Parques y jardines                      ,1710,22799,2016-01-26,VERMICAN SOLUCIONES DE COMPOSTAJE SL                                                      ,,,ASISTENCIA TECNICA HUERTOS ECOLOGICOS DICIEMBRE 2015                                                                                                                                ,1058.75
Gestión del sistema tributario.         ,9320,22708,2016-01-26,VIALINE GESTION SL                                                                        ,,,PRESTACION SERVICIOS COBRO SANCIONES EJECUTIVA OCT-NOV                                                                                                                              ,2804.68
Parques y jardines                      ,1710,22199,2016-01-26,VIZCAY HNOS. S.A.                                                                         ,,,"ARENA,TUBO,VIERTEAGUAS BROCAS JARDINES                                                                                                                                              ",156.94
Promoción y fomento del deporte.        ,3410,22740,2016-01-28,FERNANDEZ Y ARISTU SERVICIOS HOSTELEROS                                                   ,SL                                      ,,1500 MONTADITO TXISTORRA CARRERA SAN SILVESTRE(08/02/16)                                                                                                                            ,1500
Administración General.                 ,9200,22200,2016-02-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,TELEFONIA FIJA DICIEMBRE 2015                                                                                                                                                       ,1945.27
Parques y jardines                      ,1710,21400,2016-02-02,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV NA-07357-R ALZAGA P.V 2000P JARDINES                                                                                                                                            ,37.05
Servicio Social de Base                 ,2311,22103,2016-02-03,GASOLEOS ARTAJONA SL                                                                      ,,,3035 LITROS GASOLEO A SERVICIOS MULTIPLES                                                                                                                                           ,114.57
Administración General.                 ,9200,22103,2016-02-03,GASOLEOS ARTAJONA SL                                                                      ,,,3035 LITROS GASOLEO A SERVICIOS MULTIPLES                                                                                                                                           ,114.57
Parques y jardines                      ,1710,22103,2016-02-03,GASOLEOS ARTAJONA SL                                                                      ,,,783 LITROS GASOLEO A JARDINES                                                                                                                                                       ,591.19
Desarrollo empresarial.                 ,4330,22103,2016-02-03,GASOLEOS ARTAJONA SL                                                                      ,,,1525 LITROS GASOLEO C AYUNTAMIENTO VIEJO                                                                                                                                            ,631.08
Policía Local                           ,1321,22103,2016-02-03,GASOLEOS ARTAJONA SL                                                                      ,,,3035 LITROS GASOLEO A SERVICIOS MULTIPLES                                                                                                                                           ,687.47
Otros servicios de bienestar comunitario,1690,22103,2016-02-03,GASOLEOS ARTAJONA SL                                                                      ,,,3035 LITROS GASOLEO A SERVICIOS MULTIPLES                                                                                                                                           ,1374.94
Administración General.                 ,9200,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,23.3
Parques y jardines                      ,1710,22799,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,44.19
Desarrollo empresarial.                 ,4330,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,88.81
Administración General.                 ,9200,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,107.81
Consultorios y centros de salud         ,3121,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,109.26
Bibliotecas públicas.                   ,3321,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,110.24
Otros servicios comunitarios y sociales ,2399,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,135.43
Otros servicios de bienestar comunitario,1690,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,201.84
Administración General.                 ,9200,21200,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,291.68
Escuelas infantiles                     ,3231,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,300.8
Parques y jardines                      ,1710,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,323.24
Escuelas infantiles                     ,3231,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,329.64
Parques y jardines                      ,1710,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,368.87
Escuelas de música                      ,3261,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,426.28
Promoción y fomento del deporte.        ,3410,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,836.84
Funcionamiento de centros docentes de en,3232,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTRO AGUA MENSUAL DICIEMBRE                                                                                                                                                   ,1000.45
Parques y jardines                      ,1710,22101,2016-02-03,SERVICIOS DE LA COMARCA DE PAMPLONA                                                       ,,,SUMINISTROS AGUA 3º CUATRIMESTRE 2015                                                                                                                                               ,2693.64
Otros servicios de bienestar comunitario,1690,22103,2016-02-03,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,124 LT COMBUSTIBLE S/P 95 SM                                                                                                                                                        ,130.14
Parques y jardines                      ,1710,22103,2016-02-03,SOCIEDAD COOPERATIVA CEREALISTA DE URROZ                                                  ,VILLA                                   ,,COMBUSTIBLE S/P 95 JARDINES 04/01/16 A 27/01/16                                                                                                                                     ,136.16
Escuelas infantiles                     ,3231,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,5.79
Promoción y fomento del deporte.        ,3410,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,21.39
Escuelas de música                      ,3261,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,21.78
Parques y jardines                      ,1710,21000,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,27.11
Alumbrado público.                      ,1650,21900,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,39.93
Funcionamiento de centros docentes de en,3232,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,52.85
Promoción cultural                      ,3340,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,53.21
Consultorios y centros de salud         ,3121,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,70.75
Órganos de gobierno.                    ,9120,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,79.21
Policía Local                           ,1321,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,95.75
Parques y jardines                      ,1710,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,104.84
Otros servicios de bienestar comunitario,1690,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,124.18
Servicio Social de Base                 ,2311,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,136.98
Órganos de gobierno.                    ,9120,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,301.79
Administración General.                 ,9200,22200,2016-02-04,TELEFONICA MOVILES                                                                        ,,,CONSUMO TELEFONOS MOVILES DICIEMBRE 2015                                                                                                                                            ,311.88
Promoción y fomento del deporte.        ,3410,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,183.53
Consultorios y centros de salud         ,3121,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,494.49
Bibliotecas públicas.                   ,3321,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,736.89
Parques y jardines                      ,1710,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,947.73
Escuelas infantiles                     ,3231,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,1197.62
Escuelas de música                      ,3261,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,1265.28
Administración General.                 ,9200,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,2146.09
Funcionamiento de centros docentes de en,3232,22102,2016-02-05,GAS NATURAL SERVICIOS SDG S.A.                                                            ,,,SUMINISTRO DE GAS MES DE DICIEMBRE                                                                                                                                                  ,2567.95
Parques y jardines                      ,1710,22100,2016-02-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,61.02
Parques y jardines                      ,1710,22100,2016-02-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,86.36
Administración General.                 ,9200,22100,2016-02-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,126.8
Alumbrado público.                      ,1650,22100,2016-02-05,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,4471.81
Parques y jardines                      ,1710,22101,2016-02-05,"NAVARRA DE SUELO Y VIVIENDA, S.A                                                          ",,,SUMINISTRO AGUA NO POTABLE PARA RIEGO:MAY-JUL (54611 M3)                                                                                                                            ,11148.03
Otros servicios de bienestar comunitario,1690,22100,2016-02-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,234.33
Escuelas de música                      ,3261,22100,2016-02-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,301
Consultorios y centros de salud         ,3121,22100,2016-02-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,319.39
Desarrollo empresarial.                 ,4330,22100,2016-02-08,IBERDROLA CLIENTES S.A.U.                                                                 ,,,ENERGIA ELECTRICA ENERO 2016                                                                                                                                                        ,443.3
