a,b,c,d,e,f,g,h,i,j,k,l,m,n,AYUNTAMIENTO DEL VALLE DE EGÜES 
1,,17100,23120,LOCOMOCION PERSONAL JARDINES,,,0,0,82.5,82.5,82.5,,82.5,-82.5
1,,17100,23300,OTRAS INDEMNIZACIONES PERSONAL JARDINES,,,0,0,155.5,155.5,155.5,,155.5,-155.5
1,,17101,21000,MANTENIMIENTO ITINERARIOS LUDICOS-NATURA,,,6000,8000,6283.08,6283.08,6283.08,,6283.08,1716.92
1,,17101,21900,MANTENIMIENTO PARQUE FLUVIAL DEL ARGA,,,52000,52000,51546.46,51546.46,51546.46,,51546.46,453.54
1,,17101,22100,ENERGIA ELECTRICA RIEGO JARDINES,,,18000,18000,16263.4,16263.4,16263.4,,15048.87,1736.6
1,,17101,22101,AGUA PARA RIEGO JARDINES,,,84100,88100,92536.06,92536.06,92536.06,,88401.46,-4436.06
1,,17101,22706,"ESTUDIOS, PLAN GESTION EGULBATI Y VOLUNT",,,17700,17700,10373.13,10373.13,10373.13,,10333.83,7326.87
1,,17101,22799,"ATERPEAK, ACTUACIONES BALSA ZOLINA",,,9000,9000,4840,4840,4840,,4840,4160
1,,17102,21900,MANTENIMIENTO HUERTOS URBANOS,,,5000,5000,5532.91,5532.91,5532.91,,5532.91,-532.91
1,,17102,22101,AGUA HUERTOS URBANOS,,,1800,1800,973.83,973.83,973.83,,879.88,826.17
1,,17102,22799,ASISTENCIA TECNICA HUERTOS URBANOS,,,15000,15000,13170.28,13170.28,13170.28,,11775.75,1829.72
1,,23110,21400,MANTENIMIENTO VEHICULO SSB,,,1500,1500,586.81,586.81,586.81,,535.08,913.19
1,,23110,22000,MATERIAL OFICINA SSB,,,6000,6000,5412.73,5412.73,5412.73,,4722.36,587.27
1,,23110,22002,MATERIAL INFORMATICO NO INVENTARIABLE SS,,,1000,1000,3764.68,3764.68,3764.68,,3721.95,-2764.68
1,,23110,22103,COMBUSTIBLE VEHICULOS SSB,,,1200,1200,935.95,935.95,935.95,,935.95,264.05
1,,23110,22105,COMPRA DE ALIMENTOS Y TRANSPORTE,,,40000,25000,19547.99,19547.99,19547.99,,18709.56,5452.01
1,,23110,22199,MATERIAL ESPECIFICO SSB,,,1000,1000,369.92,369.92,369.92,,241.47,630.08
1,,23110,22200,TELEFONO SSB,,,1100,1100,1378.31,1378.31,1378.31,,1378.31,-278.31
1,,23110,22400,SEGURO VEHICULO SSB,,,1000,1000,983.92,983.92,983.92,,0,16.08
1,,23110,22602,COMUNICACIÓN Y ACTOS PUBLICITARIOS SSB,,,1200,1200,0,0,0,,0,1200
1,,23110,22607,PRUEBAS TRIBUNAL PERSONAL SSB,,,0,0,54.88,54.88,54.88,,54.88,-54.88
1,,23110,22799,ACTIVIDADES Y PROGRAMAS SSB,,,22000,16000,12996.01,12996.01,12996.01,,11646.32,3003.99
1,,23110,23120,DIETAS Y LOCOMOCION PERSONAL SSB,,,500,500,319.9,319.9,319.9,,319.9,180.1
1,,23110,23300,OTRAS INDEMNIZACIONES SSB,,,0,0,266,266,266,,266,-266
1,,23180,22104,VESTUARIO PERSONAL SAD,,,1800,1800,1777.57,1777.57,1777.57,,1117.9,22.43
1,,23180,22199,MATERIAL ESPECIFICO SAD,,,1000,1000,987.73,987.73,987.73,,482.37,12.27
1,,23180,23120,DIETAS Y LOCOMOCION PERSONAL SAD,,,5000,5000,4300.42,4300.42,4300.42,,4300.42,699.58
1,,23180,23300,OTRAS INDEMNIZACIONES PERSONAL SAD,,,0,0,480,480,480,,480,-480
1,,23910,22699,PROGRAMA CONVIVENCIA,,,5000,5000,0,0,0,,0,5000
1,,23910,22706,PLAN IGUALDAD,,,30000,30000,26308.21,26308.21,26308.21,,23785.46,3691.79
1,,23910,22799,VIOLENCIA GENERO,,,10000,10000,7702.81,6492.81,442.81,,442.81,2297.19
1,,23990,21200,CONSERVACION EDIFICIO CAF,,,6000,6000,2276.31,2276.31,2276.31,,1944.47,3723.69
1,,23990,22000,MATERIAL DIVERSO CAF,,,1500,1500,3792.94,3792.94,3792.94,,3647.74,-2292.94
1,,23990,22100,ENERGIA ELECTRICA EDIFICIO CAF,,,13300,8300,8314.93,8314.93,8314.93,,7395.57,-14.93
1,,23990,22101,AGUA EDIFICIO CAF,,,1800,1800,1688.93,1688.93,1688.93,,1407.65,111.07
1,,23990,22104,VESTUARIO PENAS COMUNIDAD,,,400,400,53.24,53.24,53.24,,53.24,346.76
1,,23990,22110,PRODUCTOS LIMPIEZA EDIFICIO CAF,,,800,800,887.67,887.67,887.67,,887.67,-87.67
1,,23990,22604,ASISTENCIA JURIDICA CAF,,,16000,16000,16000,16000,4000,,4000,0
1,,23990,22699,PROGRAMA TERCERA EDAD,,,9000,9000,5629.55,5629.55,5629.55,,5629.55,3370.45
1,,23990,22700,LIMPIEZA EDIFICIO CAF,,,10500,8550,8510.3,8510.3,8510.3,,8510.3,39.7
1,,23990,22799,GESTION CENTRO ATENCION FAMILIAS,,,421000,421000,420814.92,420814.92,420814.92,,385747.01,185.08
1,,24120,22104,VESTUARIO EMPLEO SOCIAL PROTEGIDO,,,3200,5900,5859.88,5859.88,5859.88,,5859.88,40.12
1,,24120,22199,MATERIAL EMPLEO SOCIAL PROTEGIDO,,,600,600,1739.21,1739.21,1739.21,,728.77,-1139.21
1,,24190,22706,PROGRAMAS  FOMENTO DE EMPLEO,,,30000,30000,27802.28,27802.28,20905.28,,20561.72,2197.72
1,,24190,23120,LOCOMOCION PERSONAL EMPLEO,,,0,0,37,37,37,,37,-37
1,,31100,22113,RECOGIDA DE ANIMALES,,,600,600,370.95,370.95,370.95,,320.95,229.05
1,,31100,22709,SERVICIOS DE DESRATIZACION,,,3000,3000,2868.95,2868.95,2868.95,,2868.95,131.05
1,,31210,21200,CONSERVACION CONSULTORIO MEDICO,,,3000,3000,2934.95,2934.95,2934.95,,2934.95,65.05
1,,31210,22100,ENERGIA ELECTRICA CONSULTORIO MEDICO,,,5000,5000,3824.54,3824.54,3824.54,,3420.34,1175.46
1,,31210,22101,AGUA EDIFICIO CONSULTORIO MEDICO,,,1500,1500,674.72,674.72,674.72,,469.58,825.28
1,,31210,22102,GAS EDIFICIO CONSULTORIO MEDICO,,,8000,8000,5366.41,5366.41,5366.41,,4575.73,2633.59
1,,31210,22200,TELEFONO Y ALARMAS CONSULTORIO MEDICO,,,1000,1000,612.98,612.98,612.98,,612.98,387.02
1,,31210,22700,LIMPIEZA CONSULTORIO MEDICO,,,23000,18550,18520.1,18520.1,18520.1,,18520.1,29.9
1,,32310,20200,ALQUILER CENTRO 0-3 EGUES II,,,20000,20000,19213.8,19213.8,19213.8,,11207.91,786.2
1,,32310,21200,CONSERVACION CENTROS 0-3 AÑOS,,,10000,10000,6733.65,6733.65,6733.65,,6095.18,3266.35
1,,32310,22100,ENERGIA ELECTRICA CENTROS 0-3,,,11000,11000,9896.8,9896.8,9896.8,,8588.3,1103.2
1,,32310,22101,AGUA CENTROS 0-3,,,5200,5500,5430.59,5430.59,5430.59,,4477.78,69.41
1,,32310,22102,GAS CENTROS 0-3,,,19000,18700,14557.38,14557.38,14557.38,,12318.76,4142.62
1,,32310,22199,MATERIAL EDUCATIVO CENTROS 0-3,,,5000,5000,203.6,203.6,203.6,,203.6,4796.4
1,,32310,22200,TELEFONO ALARMAS CENTROS 0-3,,,300,300,300.78,300.78,300.78,,300.78,-0.78
1,,32310,22400,SEGURO EDIFICIOS CENTROS 0-3,,,0,0,1063.62,1063.62,1063.62,,1063.62,-1063.62
1,,32310,22799,GESTION EDUCATIVA CENTROS 0-3,,,800000,455000,453248.3,453248.3,453248.3,,453248.3,1751.7
1,,32320,21200,CONSERVACION COLEGIO PUBL.SARRIGUREN,,,12000,12000,14732.57,14732.57,14673.55,,11062.24,-2732.57
1,,32320,22000,MATERIAL OFICINA COLEGIO PUBLICO,,,0,0,99.19,99.19,99.19,,99.19,-99.19
1,,32320,22100,ENERGIA ELECTRICA COLEGIO PUBL.SARRIGURE,,,50000,33700,24651.38,24651.38,24651.38,,22440.73,9048.62
1,,32320,22101,AGUA EDIFICIO COLEGIO PUBL. SARRIGUREN,,,9000,9000,10720.95,10720.95,10720.95,,8724.89,-1720.95
1,,32320,22102,GAS EDIFICIO COLEGIO PUBL.SARRIGUREN,,,53000,43000,43924,43924,43924,,37493.91,-924
1,,32320,22104,VESTUARIO PERSONAL CP SARRIGUREN,,,500,500,1018.02,1018.02,1018.02,,1018.02,-518.02
1,,32320,22110,PRODUCTOS  LIMPIEZA COLEGIO PUBL SARRIGU,,,2700,2700,3433.26,3433.26,3433.26,,3433.26,-733.26
1,,32320,22200,TELEFONO ALARMA COLEGIO PUBL SARRIGUREN,,,1000,1000,2071.49,2071.49,2071.49,,2071.49,-1071.49
1,,32320,22700,LIMPIEZA COLEGIO PUBL.SARRIGUREN,,,180000,140000,145833.9,145833.9,145833.9,,145833.9,-5833.9
1,,32610,21200,CONSERVACION EDIFICIO ESCUELA MUSICA,,,5250,5250,3126.03,3126.03,3126.03,,2948.81,2123.97
1,,32610,21900,"CONSERVACION INSTRUMENTOS,EQUIPOS TECNIC",,,2000,2000,3045.15,3045.15,3045.15,,2545.55,-1045.15
1,,32610,22000,MATERIAL OFICINA ESCUELA MUSICA,,,2000,2000,2550.46,2550.46,2550.46,,2272.4,-550.46
1,,32610,22100,ENERGIA ELECTRICA ESCUELA MUSICA,,,4500,4500,4127,4127,4127,,3662.29,373
1,,32610,22101,AGUA EDIFICIO ESCUELA MUSICA,,,1300,1300,1290.41,1290.41,1290.41,,863.63,9.59
1,,32610,22102,GAS EDIFICIO ESCUELA MUSICA,,,6000,6000,5223.69,5223.69,5223.69,,3880.12,776.31
1,,32610,22110,PRODUCTOS LIMPIEZA ESCUELA MUSICA,,,500,500,655.2,655.2,655.2,,655.2,-155.2
1,,32610,22199,MATERIAL DIDACTICO ESCUELA DE MUSICA,,,1200,1200,1294.47,1294.47,1294.47,,1181.03,-94.47
1,,32610,22200,TELEFONO ESCUELA MUSICA,,,400,400,280.76,280.76,280.76,,280.76,119.24
1,,32610,22601,ATENCIONES PROTOCOLARIAS DE ESCUELA MUSI,,,2000,2000,242,242,242,,242,1758
1,,32610,22607,TRIBUNAL PRUEBAS SELECTIVAS ESC MUSICA,,,0,0,189.58,189.58,189.58,,189.58,-189.58
1,,32610,22700,LIMPIEZA ESCUELA MUSICA,,,14500,12050,12034.4,12034.4,12034.4,,12034.4,15.6
1,,32610,22750,ACTIVIDADES ESCUELA DE MUSICA,,,800,800,905.04,905.04,905.04,,735.64,-105.04
1,,32610,23120,LOCOMOCION PERSONAL ESC. MUSICA,,,0,0,144.92,144.92,144.92,,144.92,-144.92
1,,33210,21200,CONSERVACION EDIFICIO BIBLIOTECA,,,2000,2000,1236.47,1236.47,1236.47,,1236.47,763.53
1,,33210,22000,MATERIAL LUDOTECA,,,1500,1500,1909.41,1909.41,1909.41,,1555.88,-409.41
1,,33210,22100,ENERGIA ELECTRICA BIBLIOTECA,,,7000,7000,3169.72,3169.72,3169.72,,3169.72,3830.28
1,,33210,22101,AGUA BIBLIOTECA,,,600,600,347.58,347.58,347.58,,213.64,252.42
1,,33210,22102,GAS EDIFICIO BIBLIOTECA,,,6000,6000,4608,4608,4608,,3803.95,1392
1,,33210,22199,MATERIAL BIBLIOTECA,,,3000,3000,2656.46,2656.46,2656.46,,1861.02,343.54
1,,33210,22200,TELEFONO BIBLIOTECA,,,1000,1000,693.48,693.48,693.48,,635.69,306.52
1,,33210,22750,ACTIVIDADES DE BIBLIOTECA Y LUDOTECA,,,5000,5000,3968.77,3968.77,3968.77,,2621.27,1031.23
1,,33400,20200,ALQUILER LOCALES ACTIVIDADES CULTURALES,,,1600,1600,0,0,0,,0,1600
1,,33400,22199,REPRODUCCIONES EN GOMA GIGANTES PEQUEÑOS,,,0,0,4265.25,4265.25,4265.25,,4265.25,-4265.25
1,,33400,22200,TELEFONO COORDINADORA CULTURA,,,600,600,763.53,763.53,763.53,,763.53,-163.53
1,,33400,22602,PUBLICIDAD CARTELES MUPIS,,,600,600,337.22,337.22,337.22,,337.22,262.78
1,,33400,22606,CURSOS SOCIOCULTURALES,,,48000,48000,49732.46,49732.46,43017.46,,40747.46,-1732.46
1,,33400,22750,ACTIVIDADES CULTURALES,,,35500,35500,37148.76,37148.76,37148.76,,33763.13,-1648.76
1,,33500,22602,PUBLICIDAD EUSKERA,,,300,300,300,300,300,,300,0
1,,33500,22799,ACTIVIDADES DE NORMALIZACION EUSKERA,,,11700,15700,16614.51,16614.51,16614.51,,14889.77,-914.51
1,,33700,22199,COMEDOR SERVICIO LUDOGUARDERIA VERANO,,,2200,2200,1354.48,1354.48,1354.48,,1354.48,845.52
1,,33700,22799,CAMPAMENTOS DE VERANO,,,36100,36100,33140.9,29983.51,29553.3,,29553.3,1554.1
1,,33701,22620,DIA DE LA JUVENTUD,,,10000,10000,7952.67,7952.67,7952.67,,7952.67,2047.33
1,,33701,22750,PROGRAMA DE JUVENTUD,,,10000,10000,6480.28,6480.28,6480.28,,6480.28,3519.72
1,,33800,21200,GASTOS INSTALACION TXOZNAS,,,0,0,2951.33,2951.33,2951.33,,2951.33,-2951.33
1,,33800,22199,OTROS GASTOS FIESTAS POPULARES,,,0,0,3344.6,3344.6,3344.6,,3089.11,-3344.6
1,,33801,22620,DIA DEL VALLE,,,5000,5000,3361.31,3361.31,3361.31,,3361.31,1638.69
1,,33802,22620,GASTOS FIESTAS GORRAIZ,,,27000,27000,25112.93,25112.93,25112.93,,25081.59,1887.07
1,,33803,22620,GASTOS FIESTAS USTARROZ,,,1800,1800,1700.01,1700.01,1700.01,,1700.01,99.99
1,,33804,22620,ROMERIA DE SAN PEDRO MARTIR,,,2000,2000,1562.35,1562.35,1562.35,,1562.35,437.65
1,,33805,22620,GASTOS FIESTAS SARRIGUREN,,,50000,50000,46350.96,46350.96,46350.96,,46287.69,3649.04
1,,33806,22620,COMPRA MATERIAL FIESTAS REUTILIZABLES,,,0,5000,3312.48,3312.48,3312.48,,3312.48,1687.52
1,,34100,21200,CONSERVACION INSTALACIONES DEPORTIVAS,,,6000,6000,6278.32,6278.32,6278.32,,3597.32,-278.32
1,,34100,22200,TELEFONO COORDINADORA DEPORTES,,,250,250,290.65,290.65,290.65,,290.65,-40.65
1,,34100,22740,ACTIVIDADES DEPORTIVAS Y EVENTOS DEPORTI,,,16000,16000,17251.95,17251.95,16507.94,,12286.41,-1251.95
1,,34100,22799,VUELTA PAMPLONA,,,7000,7000,7000,7000,7000,,7000,0
1,,34101,21200,CONSERVACION BAR PISCINAS,,,2500,2500,539.06,539.06,539.06,,539.06,1960.94
1,,34101,22100,ENERGIA ELECTRICA EN BAR CD SARRIGUREN,,,18000,18000,13952.68,13952.68,13952.68,,12976.87,4047.32
1,,34101,22101,AGUA EN BAR CD SARRIGUREN,,,2000,2600,2463.05,2463.05,2463.05,,1645.83,136.95
1,,34101,22102,GAS BAR CD SARRIGUREN,,,4000,3400,2447.77,2447.77,2447.77,,2237.98,952.23
1,,43300,21000,MANTENIMIENTO CIUDAD INNOVACION SARRIGUR,,,10000,10000,4237.92,4237.92,4237.92,,4237.92,5762.08
1,,43300,21200,CONSERVACION EDIFICIO VIVERO EMPRESAS,,,2000,2000,807.13,807.13,807.13,,789.11,1192.87
1,,43300,22100,ENERGIA ELECTRICA EDIFICIO VIVERO EMPRES,,,2500,2500,2599.15,2599.15,2599.15,,2314.98,-99.15
1,,43300,22101,AGUA EDIFICIO VIVERO EMPRESAS,,,300,300,265.88,265.88,265.88,,168.17,34.12
1,,43300,22103,GASOIL EDIFICIO VIVERO EMPRESAS,,,2000,2000,1440.26,1440.26,1440.26,,1440.26,559.74
1,,43300,22700,LIMPIEZA EDIFICIO VIVERO EMPRESAS,,,3700,3400,3333.7,3333.7,3333.7,,3333.7,66.3
1,,43301,21000,MANTENIMIENTO POLIGONOS INDUSTRIALES,,,11000,11000,5567.04,5567.04,5567.04,,3361.07,5432.96
1,,44110,22730,TRANSPORTE PUBLICO,,,53000,50000,45525.64,45525.64,45525.64,,41432.34,4474.36
1,,91200,22200,TELEFONO ALCALDIA,,,1500,1500,856.1,856.1,856.1,,856.1,643.9
1,,91200,23100,DIETAS Y LOCOMOCION ALCALDIA,,,0,0,677.9,677.9,677.9,,677.9,-677.9
1,,91201,22200,TELEFONOS CONCEJALES,,,3200,3200,3283.78,3283.78,3283.78,,3283.78,-83.78
1,,91201,23100,DIETAS E INDEMNIZACIONES CONCEJALES,,,46000,46000,42512.4,42512.4,42512.4,,42512.4,3487.6
1,,92000,20200,ARRENDAMIENTO LOCALES TRIB. SELECCIÓN,,,1000,1000,0,0,0,,0,1000
1,,92000,20500,RENTING CENTRALES TELEFONICAS,,,2400,2400,1128.34,1128.34,1128.34,,1128.34,1271.66
1,,92000,21200,CONSERVACION EDIFICIO CASA CONSISTORIAL,,,25000,25000,21120.14,21120.14,21120.14,,20458.22,3879.86
1,,92000,21400,MANTENIMIENTO MEDIOS LOCOMOCION SERV.GRA,,,600,600,376.24,376.24,376.24,,376.24,223.76
1,,92000,21600,MANTENIMIENTO EQUIPOS OFICINAS,,,2000,2000,6341.65,6341.65,5143.75,,5104.91,-4341.65
1,,92000,22000,MATERIAL OFICINA AYUNTAMIENTO,,,10000,10000,11533.82,11533.82,11533.82,,10949,-1533.82
1,,92000,22001,LIBROS Y SUSCRIPCIONES LEGISLATIVAS,,,8000,8000,7823.01,7823.01,7823.01,,7823.01,176.99
1,,92000,22002,MATERIAL NO INVENTARIABLE OFICINAS,,,600,600,2418.16,2418.16,2418.16,,2224.63,-1818.16
1,,92000,22100,ENERGIA ELECTRICA CASA CONSISTORIAL,,,60000,50000,46942.55,46942.55,46942.55,,42543,3057.45
1,,92000,22101,AGUA CASA CONSISTORIAL,,,1600,1600,1465.48,1465.48,1465.48,,1220.39,134.52
1,,92000,22102,GAS CASA CONSISTORIAL,,,32000,32000,25793.4,25793.4,25793.4,,22551.66,6206.6
1,,92000,22103,COMBUSTIBLE VEHICULOS SERV.GRALES,,,800,800,913.34,913.34,913.34,,913.34,-113.34
1,,92000,22106,PRODUCTOS FARMACEUTICOS,,,200,200,96.58,96.58,96.58,,96.58,103.42
1,,92000,22110,PRODUCTOS LIMPIEZA CASA CONSISTORIAL,,,1600,1600,1815.16,1815.16,1815.16,,1815.16,-215.16
1,,92000,22200,TELEFONO CASA CONSISTORIAL,,,25000,25000,28869.3,28869.3,28869.3,,26786.16,-3869.3
1,,92000,22201,SERVICIO POSTAL AYUNTAMIENTO,,,22000,22000,24241.52,24241.52,24241.52,,18234.45,-2241.52
1,,92000,22300,GASTOS DE TRANSPORTES Y ENVIOS,,,3000,3000,2237.54,2237.54,2237.54,,2071.39,762.46
1,,92000,22400,SEGURO RC Y DE EDIFICIOS MUNICIPALES,,,20000,20000,18129.28,18129.28,18129.28,,17818.57,1870.72
1,,92000,22601,ATENCIONES PROTOCOLARIAS,,,6000,6000,6040.76,6040.76,6040.76,,5872.61,-40.76
1,,92000,22602,"PUBLICIDAD PRENSA,SUSCRIP.REVISTAS Y ACT",,,12000,12000,16857.41,16857.41,16857.41,,14473.1,-4857.41
1,,92000,22604,GASTOS JURIDICOS E INFORMES,,,12000,12000,13526.58,13526.58,13526.58,,8123.49,-1526.58
1,,92000,22606,CONSEJO DE PARTICIPACION CIUDADANA,,,1000,1000,0,0,0,,0,1000
1,,92000,22699,ACTUALIZACION PAGINA WEB,,,1400,1400,499.56,499.56,499.56,,499.56,900.44
1,,92000,22700,LIMPIEZA EDIFICIO CASA CONSISTORIAL,,,67000,55500,55473.38,55473.38,55473.38,,55473.38,26.62
1,,92000,22709,GASTOS DE ENTERRAMIENTOS,,,0,0,1064.3,1064.3,1064.3,,1064.3,-1064.3
1,,92000,22770,ASESORIA LABORAL,,,15000,15000,13982.76,13982.76,13982.76,,12817.53,1017.24
1,,92000,23120,DIETAS Y LOCOMOCION PERSONAL SERV. GRAL,,,1000,1000,165.46,165.46,165.46,,165.46,834.54
1,,92000,23300,OTRAS INDEMNIZACIONES PERSONAL ADMON,,,1000,1000,0,0,0,,0,1000
1,,92000,25000,SERVICIOS INFORMATICOS ENCOMIENDA ANIMSA,,,0,65000,63956.15,63956.15,63956.15,,63956.15,1043.85
1,,92001,21200,CONSERV OTROS EDIFICIOS Y BIENES MUNIC,,,10000,10000,8221.54,8221.54,8221.54,,6816.47,1778.46
1,,92001,22000,MATERIAL JUZGADO PAZ,,,1000,1000,853.31,853.31,853.31,,807.33,146.69
1,,92001,22100,ENERGIA ELECTRICA OTROS EDIF MUNICIPALES,,,1000,1000,545.19,545.19,545.19,,508.89,454.81
1,,92001,22101,AGUA OTROS EDIFICIOS PUBLICOS,,,1000,1000,976.48,976.48,976.48,,637.51,23.52
1,,92001,22400,BOLSA SEGUROS VEHICULOS,,,6000,6000,0,0,0,,0,6000
1,,92002,22400,INDEMNIZACIONES SINIESTROS,,,2000,2000,2650.31,2650.31,2650.31,,2650.31,-650.31
1,,92400,22706,AREA DE TRANSPARENCIA Y PARTICIPACION,,,40000,20000,7636.31,7636.31,4127.31,,2083.62,12363.69
1,,93100,22604,COMISIONES Y SERVICIOS BANCARIOS,,,2500,2500,1675.78,1675.78,1675.78,,1675.78,824.22
1,,93100,23120,DIETAS Y LOCOMOCION PERSONAL HACIENDA,,,0,0,8.15,8.15,8.15,,8.15,-8.15
1,,93200,22602,GASTO DE ENVIOS DE TRIBUTOS,,,10000,10000,10476.84,10476.84,10476.84,,10476.84,-476.84
1,,93200,22706,MANTENIMIENTO CATASTRO,,,12000,12000,7265.27,7265.27,7265.27,,7265.27,4729.09
1,,93200,22708,GESTION DE COBROS MULTAS,,,143000,139700,110056.2,110056.2,110056.2,,110056.2,29643.8
1,,93200,22799,PLAN DE REGULARIZACION FISCAL,,,6000,6000,691.46,691.46,691.46,,691.46,5308.54
1,,93201,22708,GESTION DE COBROS AGENCIA EJECUTIVA,,,30000,40000,47668.52,47668.52,47668.52,,47608.02,-7668.52
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,2,GASTOS CORRIENTES EN BIENES Y SERVICIOS.,,,,3932200,3508800,3357325.52,3352958.13,3314387.99,,3100700.02,150063.84
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,93100,35200,INTERESES DE DEMORA,,,300,300,236.02,236.02,236.02,,236.02,63.98
,,,,,,,,,,,,,,
TOTAL ,,,,,,,,,,,,,,
Capítulo ,,3,GASTOS FINANCIEROS.,,,,300,300,236.02,236.02,236.02,,236.02,63.98
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,,13210,48200,CONVENIO POLICIAS COMARCA,,,500,500,400,400,400,,400,100
1,,15220,48200,APORTACION A LA ORVE,,,2000,2000,883.09,883.09,883.09,,883.09,1116.91
1,,16900,44900,LIMPIEZA NAVE SERVICIOS MULTIPLES,,,0,950,941.06,941.06,941.06,,493.31,8.94
1,,17100,44900,LIMPIEZA NAVE JARDINERIA,,,0,1100,1123.25,1123.25,1123.25,,572.39,-23.25
1,,17100,48200,CUOTA FORESNA Y RED NELS,,,1500,1500,1387,1387,1387,,1387,113
1,,23110,48000,AYUDAS EXTRAORDINARIAS SSB,,,95000,95000,76489.55,76489.55,76489.55,,74895.2,18510.45
1,,23110,48200,CONVENIO CON COCEMFE- TARJETAS PAGO,,,1500,1500,1380,1380,1380,,1380,120
1,,23110,48900,AYUDAS BECA COMEDOR,,,40000,40000,39745.32,39745.32,39745.32,,39717.42,254.68
1,,23111,48000,AYUDAS BONOTAXI,,,8500,8500,4310.17,4310.17,4310.17,,4310.17,4189.83
1,,23111,48200,SUBVENCIONES A COLECTIVOS SOCIALES,,,35000,35000,35000,34999.01,34999.01,,17499.55,0
1,,23111,48900,SUBVENCION PROYECTOS COOPERACION,,,71000,71000,67756,67756,67756,,67756,3244
1,,23990,44900,LIMPIEZA EDIFICIO CAF,,,0,1950,2047.5,2047.5,2047.5,,1197.57,-97.5
1,,24190,47900,FOMENTO DE EMPLEO,,,130000,117000,115713.37,115713.37,58215.61,,25647.54,1286.63
1,,31210,44900,LIMPIEZA CONSULTORIO MEDICO,,,0,4450,3831.24,3831.24,3831.24,,1797.34,618.76
1,,32310,44900,TRANSFERENCIA A ENCOMIENDA GESTION C 0-3,,,0,415000,371653.81,371653.81,371653.81,,277130.46,43346.19
1,,32310,48000,SUBVENCION AYUDAS CENTROS 0-3 FUERA VALL,,,42000,42000,15746.19,15746.19,15746.19,,8301.92,26253.81
1,,32320,44900,LIMPIEZA COLEGIOS PUBLICOS SARRIGUREN,,,0,40000,31692.21,31692.21,31692.21,,17044.88,8307.79
1,,32320,48200,SUBVENCION ACTIVIDADES COLEGIO PUBL SARR,,,30000,30000,30000,30000,30000,,30000,0
1,,32320,48900,SUBVENCION ACTIVIDADES APYMA CP SARRIGUR,,,9350,1350,1350,1350,1350,,1350,0
1,,32610,44900,LIMPIEZA ESCUELA MUSICA,,,0,2450,2631.98,2631.98,2631.98,,1291.26,-181.98
1,,33400,46800,SUBVENCIONES INICIATIVAS CULTURALES CONC,,,5000,5000,5000,3057.75,3057.75,,446.95,0
1,,33400,48900,CONVENIO CON ASOCIACION DE TEATRO,,,1800,1800,0,0,0,,0,1800
1,,33401,48200,SUBVENCIONES A ASOCIACIONES CULTURALES,,,10000,10000,10000,3962.05,3962.05,,897.23,0
1,,33402,48200,CONVENIO OLENTZERO,,,3000,3000,3000,3000,3000,,0,0
1,,33403,48200,CONVENIO COLABORACION MUSEO OTEIZA,,,15000,15000,15000,15000,15000,,15000,0
1,,33404,48200,CONVENIO CORO ADULTOS,,,5000,5000,5000,5000,5000,,5000,0
1,,33500,46220,CONVENIOS DE COLABORACION EUSKERA,,,10000,6000,884.85,884.85,884.85,,884.85,5115.15
1,,33500,48000,AYUDAS AL APRENDIZAJE EUSKERA,,,5000,5000,664.36,664.36,664.36,,664.36,4335.64
1,,33500,48900,SUBVENCION EUSKERA,,,1700,1700,0,0,0,,0,1700
1,,33600,48900,COLABORACION EN EL PARQUE DE LA MEMORIA,,,0,0,1000,1000,1000,,1000,-1000
1,,33800,46800,SUBVENCIONES A CONCEJOS PARA FIESTAS,,,58000,58000,55700.35,55700.35,55700.35,,31446.36,2299.65
1,,33801,46800,FIESTAS ERRIPAGAÑA,,,4000,4000,4000,4000,4000,,4000,0
1,,34100,48200,SUBVENCION  ESCUELAS DEPORTIVAS MUNICIPA,,,65000,65000,41387.61,41387.61,41387.61,,23517.14,23612.39
1,,34100,48900,AYUDAS DESTINADAS AL DEPORTE FEDERADO,,,36000,36000,9250.26,9250.26,9250.26,,8504.14,26749.74
1,,34101,48200,CONVENIO CLUB HIRUKI- VALLE EGUES TRIATL,,,5400,5400,5400,5400,5400,,2700,0
1,,34102,48200,CONVENIO CLUB CICLISTA EGUESIBAR,,,2750,2750,2717.42,2717.42,2717.42,,2717.42,32.58
1,,34103,48200,CONVENIO CLUB CYCLING RACING TEAM,,,1350,1350,1350,1350,1350,,675,0
1,,34104,48200,CONVENIO CLUB TIRO CON ARCO RUNA,,,400,400,0,0,0,,0,400
1,,34105,48200,CONVENIO CLUB GOLF CORRAIZ,,,2200,2200,2200,2200,2200,,1100,0
1,,34106,48200,CONVENIO CLUB LAKARRI VALLE TIRO ARCO,,,400,400,400,400,400,,200,0
1,,34107,48200,CONVENIO AC RUNNING,,,2250,2250,0,0,0,,0,2250
1,,34108,48200,APORTACIONES FUNDACIONES- COLABORACIONES,,,3400,3400,0,0,0,,0,3400
1,,43300,44900,LIMPIEZA VIVERO EMPRESAS,,,0,300,885.74,885.74,885.74,,316.58,-585.74
