#DESCRIPCIÓN FUNCIONAL ,CÓDIGO FUNCIONAL,CÓDIGO ECONÓMICO,FECHA,TERCERO,f,g,DESCRIPCIÓN,IMPORTE PAGO
Promoción cultural                      ,3340,22200,2018-01-01,TELEFONICA NACIONAL DE ESPAÑA S.A.                                                        ,,,GASTO TELEFONO FIJO DICIEMBRE                                                                                                                                                       ,5.82
Bibliotecas públicas.                   ,3321,63200,2018-01-16,MAESTU                                                                                    ,MARTINEZ                                ,LUIS JESUS                    ,DIRECCION  TECNICA INSTALACION CLIMATIZACION BIBLIOTECA Y LUDOTECA                                                                                                                  ,780.45
Escuelas de música                      ,3261,22601,2018-01-16,MANTEROLA                                                                                 ,,,LUNCH ESCUELA DE MUSICA SANTA CECILIA                                                                                                                                               ,464.55
Bibliotecas públicas.                   ,3321,62900,2018-01-16,MARQUES                                                                                   ,SUREDA                                  ,SALOMO                        ,"CAPITULO LIBRO HERMANAS URIZ;""JOSEFA Y ELISA URIZ, ADALIDES DE FORMACION MAGISTERIO Y EDUC. EN CATALUÑA                                                                             ",1250
Bibliotecas públicas.                   ,3321,62900,2018-01-16,MARTORELL                                                                                 ,PEREZ                                   ,MANUEL                        ,"BIOGRAFIA ""HISTORIA Y COMPROMISO DE LAS HERMANAS URIZ"" EDICION LIBRO NUEVO                                                                                                          ",2500
Funcionamiento de centros docentes de en,3232,63200,2018-01-16,MENDIBIL                                                                                  ,AINZUA                                  ,MIKEL                         ,DISEÑO Y PINTURA MURAL EN CP JOAKIN LIAZARRAGA                                                                                                                                      ,7139
Escuelas de música                      ,3261,22199,2018-01-16,NOVA ERA PAMPLONA                                                                         ,,,4 AURICULARES Y 3 PARES CLAVE RITMO                                                                                                                                                 ,27.01
Escuelas de música                      ,3261,62900,2018-01-16,NOVA ERA PAMPLONA                                                                         ,,,4 AURICULARES Y 3 PARES CLAVE RITMO                                                                                                                                                 ,420.02
Promoción de la igualdad efectiva entre ,2391,22706,2018-01-16,OYARZUN                                                                                   ,ECHANDI                                 ,JAVIER                        ,ADAPTACION CARTEL IGUALDAD (MUPI)                                                                                                                                                   ,48.4
Administración General.                 ,9200,22604,2018-01-16,PEGENAUTE                                                                                 ,GARDE                                   ,LUIS Mª                       ,PERMUTA CON NASUVINSA. SOLAR EN SALESIANOS                                                                                                                                          ,570.66
Escuelas de música                      ,3261,21900,2018-01-16,PIGINI S.L.                                                                               ,,,AFINACION ACORDEON                                                                                                                                                                  ,301.29
Funcionamiento de centros docentes de en,3232,21200,2018-01-16,PINTURAS BIURDANA                                                                         ,,,9 BOTE ESMALTE+9 ANTIOXIDANTE+10 LIJA+10 BANDEJA+3 BROCHA PINTAR ZONA JUEGO COMEDOR CP URIZ                                                                                         ,935.4
Promoción y fomento del deporte.        ,3410,62200,2018-01-16,RAMIREZ                                                                                   ,SANTESTEBAN                             ,JESUS                         ,ADJUDICACION PROY 2% NUEVO POLIDEPORTIVO                                                                                                                                            ,1219.68
Otros servicios de bienestar comunitario,1690,21300,2018-01-16,"REGENAUTO, S.A.                                                                           ",,,2 BATERIAS CAMION Y ELEVADORA                                                                                                                                                       ,509.8
Administración General.                 ,9200,22601,2018-01-16,REMONARTE SL                                                                              ,,,LUNCH TRABJADORES Y CARGOS ELECTOS  AYUNTAMIENTO NAVIDAD                                                                                                                            ,867.9
Administración General.                 ,9200,22000,2018-01-16,RICOH ESPAÑA SLU                                                                          ,,,COPIAS 5834 COLOR Y 6781 B/N POLICIA Y 19761 COPIAS PASILLO SEPT A NOVIEMBRE                                                                                                        ,196.07
Policía Local                           ,1321,22000,2018-01-16,RICOH ESPAÑA SLU                                                                          ,,,COPIAS 5834 COLOR Y 6781 B/N POLICIA Y 19761 COPIAS PASILLO SEPT A NOVIEMBRE                                                                                                        ,410.72
Parques y jardines                      ,1710,21000,2018-01-16,"SALTOKI, S.A.                                                                             ",,,2 UNION FLEXIBLE PINTADA                                                                                                                                                            ,19.23
Parques y jardines                      ,1710,22199,2018-01-16,SANCHOS S.L.                                                                              ,,,40 SOBRES FOLIO+4 RECAMBIO AGENDA JARDINES                                                                                                                                          ,27.25
Parques y jardines                      ,1710,21400,2018-01-16,SEAL SL                                                                                   ,,,ACEITE+3 BRIDAS+3 FILTROS                                                                                                                                                           ,80.71
Parques y jardines                      ,1710,21400,2018-01-16,SEAL SL                                                                                   ,,,REPARACION CORTACESPED VIKINB MB CARCASA COMPLETA Y PARACHOQUES DELANTERO                                                                                                           ,299.91
Administración General.                 ,9200,21600,2018-01-16,SEGURIDAD SISTEMAS NAVARRA S.A.                                                           ,,,LAMPARA PROYECTOR SALA COMISIONES                                                                                                                                                   ,215.38
Escuelas infantiles                     ,3231,21200,2018-01-16,"SERVICIOS NAVARRA DE MANTENIMIENTO, S.L                                                   ",(SERNAMAN)                              ,,REPARAR AVERIA CALDERA GUARDERIA II                                                                                                                                                 ,513.65
Bibliotecas públicas.                   ,3321,63200,2018-01-16,"SERVICIOS NAVARRA DE MANTENIMIENTO, S.L                                                   ",(SERNAMAN)                              ,,SUMINISTRO E INSTALACION CLIMATIZACION BIBLIOTECA OLAZ                                                                                                                              ,12786.83
Trabajos silvícolas                     ,1722,22706,2018-01-16,SOCIEDAD DE SERVICIOS ARAGONESES LEVERT                                                   ,,,2º PARTE TRATAMIENTO CONTROL BIOLOGICO UNIDADES ARBOLADAS SARRI                                                                                                                     ,995.89
Administración General.                 ,9200,22201,2018-01-16,SOCIEDAD ESTATAL DE CORREOS Y TELEGRAFOS SA                                               ,,,SERVICIO CORREOS DICIEMBRE (INCLUYE VIALINE)                                                                                                                                        ,5140.95
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-01-16,SUMALIM SL                                                                                ,,,CARTEL PUEBLO VIEJO INFORMACION CON TEJADO A DOS AGUAS                                                                                                                              ,1048.09
Policía Local                           ,1321,16200,2018-01-16,SUMUN EQUIPAMIENTOS                                                                       ,,,CURSO FORMACION BASICO TASER                                                                                                                                                        ,431.99
Policía Local                           ,1321,62300,2018-01-16,SUMUN EQUIPAMIENTOS                                                                       ,,,COMPRA DE 2 KIT TASER CON FUNCA CARGADOR Y BOLSA TRANSPORTE POLICIA                                                                                                                 ,4022.38
Otros servicios de bienestar comunitario,1690,21300,2018-01-16,TALLERES COBOS AUTOMOCION S.L.                                                            ,,,KIT RASQUETAS+FILTRO DIRECCION IVECO SM QUITANIEVES                                                                                                                                 ,102.51
Parques y jardines                      ,1710,21400,2018-01-16,TALLERES COBOS AUTOMOCION S.L.                                                            ,,,COMPROBAR DIRECCION+APRETAR LATIGUILLO CAMION QUITANIEVES                                                                                                                           ,126.69
Policía Local                           ,1321,21400,2018-01-16,TALLERES EBRO SL                                                                          ,,,CAMBIO BATERIA PEUGEOUT PM                                                                                                                                                          ,182.04
Policía Local                           ,1321,22200,2018-01-16,TELEFONICA MOVILES                                                                        ,,,GASTO MOVIL ENERO                                                                                                                                                                   ,19.19
Transporte público.                     ,4411,22730,2018-01-16,TELETAXI SAN FERMIN                                                                       ,,,SERVICIO TAXI BADOSTAIN NOVIEMBRE 9 FEST 18 LABOR                                                                                                                                   ,297
Servicio Social de Base                 ,2311,22105,2018-01-16,"TRANSPORTES LIZARRALDEA, S.L.                                                             ",,,TRANSPORTE BANCO ALIMENTOS DICIEMBRE                                                                                                                                                ,193.6
Promoción de la igualdad efectiva entre ,2391,22799,2018-01-16,TXUKUNA FLOWERS SLU                                                                       ,,,RAMO FLORES CAMPAÑA 25N+RAMO FLORES ANA I.MORILLO E IRISARRI                                                                                                                        ,70
Administración General.                 ,9200,22601,2018-01-16,TXUKUNA FLOWERS SLU                                                                       ,,,RAMO FLORES HIJO JOSEBA GIL SM+MADRE ZOZAYA SM                                                                                                                                      ,101.99
Administración General.                 ,9200,22601,2018-01-16,TXUKUNA FLOWERS SLU                                                                       ,,,RAMO FLORES CAMPAÑA 25N+RAMO FLORES ANA I.MORILLO E IRISARRI                                                                                                                        ,118
Participación ciudadana.                ,9240,22706,2018-01-16,UNIVERSIDAD PUBLICA DE NAVARRA                                                            ,,,SEGUNDA PARTE ASESORIA PLIEGO WEB (INFORME DE VALORACION)                                                                                                                           ,1452
Parques y jardines                      ,1710,21400,2018-01-16,UNZUE E HIJOS S.L.                                                                        ,,,PILA ALCALINA+ENCENDEDOR+BUJIA+REPARACION QUEMADOR EN VEH HOAF THERMIHIT                                                                                                            ,276.68
Parques y jardines                      ,1710,22799,2018-01-16,URBASER SA                                                                                ,,,TRABAJOS MANTENIMIENTO ZONAS VERDES DICIEMBRE 2017                                                                                                                                  ,1241.7
Parques y jardines                      ,1710,22799,2018-01-16,URBASER SA                                                                                ,,,LABORES MANTENIMIENTO ZONAS VERDES NOVIEMBRE   S AÑO 2017                                                                                                                           ,13090.07
Alumbrado público.                      ,1650,21900,2018-01-16,UTE ALUMBRADO VALLE DE EGÜES                                                              ,,,SUSTITUCION LUMINARIA POR SINIESTRO AVD ERRIPAGAÑA                                                                                                                                  ,1076.34
Alumbrado público.                      ,1650,21900,2018-01-16,UTE ALUMBRADO VALLE DE EGÜES                                                              ,,,SUSTITUCION COLUMNA Y LUMINARIA EN REINO DE NAVARRA                                                                                                                                 ,2293.92
Alumbrado público.                      ,1650,21900,2018-01-16,UTE ALUMBRADO VALLE DE EGÜES                                                              ,,,MANTENIMIENTO ALUMBRADO NOV                                                                                                                                                         ,2961.26
Alumbrado público.                      ,1650,63900,2018-01-16,UTE ALUMBRADO VALLE DE EGÜES                                                              ,,,5ª CERTIFICACION RENOVACION ALUMBRADO                                                                                                                                               ,84180.35
Alumbrado público.                      ,1650,63900,2018-01-16,UTE ALUMBRADO VALLE DE EGÜES                                                              ,,,4ª CERTIFICACION RENOVACION ALUMBRADO PUBLICO                                                                                                                                       ,391539.08
Parques y jardines                      ,1710,21000,2018-01-16,VALENZUELA HNOS.                                                                          ,,,"BATERIA INSTALACION METEOROLOGICA,MEMBRANA,TE,CODO PARA RIEGO                                                                                                                       ",919.87
Promoción y fomento del deporte.        ,3410,62200,2018-01-16,VART ARQUITECTOS S.L.                                                                     ,,,PROY  24.5% NUEVO POLIDEPORTIVO                                                                                                                                                     ,14941.08
Promoción y fomento del deporte.        ,3410,62200,2018-01-16,VELAZQUEZ                                                                                 ,ARIZMENDI                               ,SARA                          ,PROYECTO 24.5% NUEVO POLIDEPORTIVO                                                                                                                                                  ,14941.08
Promoción y fomento del deporte.        ,3410,62200,2018-01-16,VELAZQUEZ MINGARRO SLP                                                                    ,,,PROYECTO 49% NUEVO POLIDEPORTIVO                                                                                                                                                    ,29882.16
Gestión del sistema tributario.         ,9320,22708,2018-01-16,VIALINE GESTION SL                                                                        ,,,GESTION COBROS SANCIONES NOVIEMBRE                                                                                                                                                  ,10780.01
Gestión del sistema tributario.         ,9320,22708,2018-01-16,VIALINE GESTION SL                                                                        ,,,GESTION MULTAS EJECUTIVA NOVIEMBRE                                                                                                                                                  ,11750.77
Gestión del sistema tributario.         ,9320,22708,2018-01-16,VIALINE GESTION SL                                                                        ,,,GESTION COBROS EJECUTIVA NOV                                                                                                                                                        ,12024.27
Parques y jardines                      ,1710,22199,2018-01-16,VIVEROS VALDORBA                                                                          ,ECHAPARE GONZALEZ CESAR Y LEZAUN        ,INDURAIN MARIA PILAR          ,90 COLES DECORATIVAS HUERTAS COLEGIO                                                                                                                                                ,64.35
Parques y jardines                      ,1710,22199,2018-01-16,VIVEROS VALDORBA                                                                          ,ECHAPARE GONZALEZ CESAR Y LEZAUN        ,INDURAIN MARIA PILAR          ,PLANTAS TEMPORADA                                                                                                                                                                   ,1191.36
Conservación y mantenimiento de la via p,1533,21000,2018-01-16,VIZCAY HNOS. S.A.                                                                         ,,,200 TUBOS JARDINES+75 KG MORTERO+DRENAJE+KG HORM+ 576 LADRILLOS Y CEMENTO PRUEBA PEON SM                                                                                            ,281.17
Parques y jardines                      ,1710,22199,2018-01-16,VIZCAY HNOS. S.A.                                                                         ,,,200 TUBOS JARDINES+75 KG MORTERO+DRENAJE+KG HORM+ 576 LADRILLOS Y CEMENTO PRUEBA PEON SM                                                                                            ,716.69
Promoción de la igualdad efectiva entre ,2391,22799,2018-01-16,ZABAL COMUNICACION                                                                        ,PASCUAL PEJENAUTE JAVIER Y FERNANDEZ    ,IMIZCOZ JESUS                 ,PAGINA LA IGUALDAD SE APRENDE+12 MODULOS FOTO Y RELATO GANADOR                                                                                                                      ,431.98
Promoción de la igualdad efectiva entre ,2391,22706,2018-01-16,ZABAL COMUNICACION                                                                        ,PASCUAL PEJENAUTE JAVIER Y FERNANDEZ    ,IMIZCOZ JESUS                 ,PAGINA LA IGUALDAD SE APRENDE+12 MODULOS FOTO Y RELATO GANADOR                                                                                                                      ,462.83
Administración General.                 ,9200,22602,2018-01-16,ZABAL COMUNICACION                                                                        ,PASCUAL PEJENAUTE JAVIER Y FERNANDEZ    ,IMIZCOZ JESUS                 ,CONTRAPORTADA REVISTA AL REVES NOV-DIC                                                                                                                                              ,617.1
Bibliotecas públicas.                   ,3321,22200,2018-01-19,VODAFONE ONO S.A.                                                                         ,,,TELEFONO E INTERNET BIBLIOTECA 08/12-07/01                                                                                                                                          ,57.79
Alumbrado público.                      ,1650,22100,2018-01-23,IBERDROLA COMERCIALIZADORA ULTIMO                                                         ,RECURSO SAU                             ,,GASTO LUZ DICIEMBRE COPROPIETARIOS                                                                                                                                                  ,11.76
Parques y jardines                      ,1710,21400,2018-01-23,REVISIONES DE NAVARRA S.A.                                                                ,,,ITV ALZAGA P.V 2000P PORTAVEHUICULOS+MITSUBISHI JARDINES                                                                                                                            ,74.31
Promoción y fomento del deporte.        ,3410,22740,2018-01-25,BARO                                                                                      ,PASTOR                                  ,JORDI                         ,16 CHANDAL+14 PANTALON TORNEO FUTBOL INTERESCOLAR                                                                                                                                   ,-429.57
Promoción y fomento del deporte.        ,3410,22740,2018-01-25,BARO                                                                                      ,PASTOR                                  ,JORDI                         ,16 CHANDAL+14 PANTALON TORNEO FUTBOL INTERESCOLAR                                                                                                                                   ,171.83
Promoción y fomento del deporte.        ,3410,22740,2018-01-25,BARO                                                                                      ,PASTOR                                  ,JORDI                         ,16 CHANDAL+14 PANTALON TORNEO FUTBOL INTERESCOLAR                                                                                                                                   ,429.57
Empleo social protegido                 ,2419,22706,2018-01-26,DE LA TORRE VERDEJO                                                                       ,JIMENEZ                                 ,EKHIÑE                        ,VALE COMPRA TOMBOLA COMERCIOS                                                                                                                                                       ,50
Empleo social protegido                 ,2419,22706,2018-01-26,DE LA TORRE VERDEJO                                                                       ,JIMENEZ                                 ,EKHIÑE                        ,VALE COMPRA TOMBOLA COMERCIOS                                                                                                                                                       ,50
Escuelas de música                      ,3261,21900,2018-01-30,ADAGIO SL                                                                                 ,,,MANO OBRA REPARACION ALTAVOZ ESC MUS (NO SE PUEDE ARREGLAR)                                                                                                                         ,35.01
Fiestas populares y festejos.           ,3370,22620,2018-01-30,"AGAITI-DEBAVENTURA, S.L.                                                                  ",,,PAINBALL DIA DE LA JUVENTUD                                                                                                                                                         ,1500
Promoción de la igualdad efectiva entre ,2391,22699,2018-01-30,AGINTZARI                                                                                 ,,,PROGRAMA ESCUELAS EMOCIONALMENTE INTELIGENTES                                                                                                                                       ,2450
Parques y jardines                      ,1710,60000,2018-01-30,AGUSTIN CASTAN SL (PREFABRICADOS)                                                         ,,,CASETA DE PAREDES PREFABRICADAS PARA MURCIELAGOS                                                                                                                                    ,4401.74
Funcionamiento de centros docentes de en,3232,21200,2018-01-30,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINSECTACION DESRATIZACION CP HERMANAS URIZ                                                                                                                                       ,299.29
Escuelas infantiles                     ,3231,21200,2018-01-30,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINSECTACION DESRATIZACION GUARDERIA GORRAIZ II                                                                                                                                   ,323.24
Escuelas infantiles                     ,3231,21200,2018-01-30,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINSECTACION DESRATIZACION CP SARRIGUREN I                                                                                                                                        ,323.24
Escuelas infantiles                     ,3231,21200,2018-01-30,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINSECTACION DESRATIZACION GUARDERIA GORRAIZ I                                                                                                                                    ,323.24
Funcionamiento de centros docentes de en,3232,21200,2018-01-30,ALBA TRATAMIENTOS DE HIGIENE SL                                                           ,,,DESINSECTACION DESRATIZACION CP LIZARRAGA                                                                                                                                           ,778.16
Parques y jardines                      ,1710,22199,2018-01-30,ALDAZ ECHARRI S.A.                                                                        ,,,18 KG CORRUGADO 8 MM                                                                                                                                                                ,18.51
Policía Local                           ,1321,22706,2018-01-30,ALGAS COMUNICACION                                                                        ,,,8500 EJ Y DISEÑO CURSOS CULT.+DISEÑO CARTELES SEMANA MOVILIDAD                                                                                                                      ,181.5
Promoción cultural                      ,3340,22606,2018-01-30,ALGAS COMUNICACION                                                                        ,,,8500 EJ Y DISEÑO CURSOS CULT.+DISEÑO CARTELES SEMANA MOVILIDAD                                                                                                                      ,1749.66
Parques y jardines                      ,1710,21000,2018-01-30,ALVECON S.L.                                                                              ,,,ALQUILER DUMPER PARA HACER BALSAS ANFIBIOS                                                                                                                                          ,594.21
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-01-30,APEZETXEA ANAIAK SL                                                                       ,,,PINTADO PASO DE CEBRA+SUMINISTRO Y COLOCACION SEÑAL CUADRADA. GORRAIZ                                                                                                               ,1059.48
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-01-30,APEZETXEA ANAIAK SL                                                                       ,,,FRESADO Y ASFALTADO DE PASO ELEVADO OLAZ                                                                                                                                            ,3404.37
Participación ciudadana.                ,9240,22706,2018-01-30,ARBUNIES Y LEKUNBERRI ASOCIADOS SL                                                        ,,,DIAGNOSTICO SOBRE TRANSPORTE PUBLICO EN EL VALLE                                                                                                                                    ,6050
Desarrollo empresarial.                 ,4330,21200,2018-01-30,ARIZCUREN                                                                                 ,EUSA                                    ,MIGUEL                        ,REPARACIONES Y CONEXIONES CASETAS ASEO FIESTAS SARRIGUREN+REPARACION CUARTO CALDERA VIVERO                                                                                          ,119.85
Conservación y mantenimiento de la via p,1533,21000,2018-01-30,ARIZCUREN                                                                                 ,EUSA                                    ,MIGUEL                        ,REPARACIONES Y CONEXIONES CASETAS ASEO FIESTAS SARRIGUREN+REPARACION CUARTO CALDERA VIVERO                                                                                          ,513.89
Parques y jardines                      ,1710,21400,2018-01-30,AROZ-BERRI SA                                                                             ,,,REPARACION PALA CARGADORA TRACTOR                                                                                                                                                   ,38.72
Parques y jardines                      ,1710,21400,2018-01-30,ARRE MOTOR S.A.                                                                           ,,,ESPEJO LUNETA NISSAN JARDINES                                                                                                                                                       ,65.68
Otros servicios de bienestar comunitario,1690,21300,2018-01-30,ARRIZABAL ELKARTEA S.L.                                                                   ,,,REPARACION BARREDORA (MOTOR CEPILLO DELANTERO)                                                                                                                                      ,2482.29
Administración General.                 ,9200,22770,2018-01-30,ASESORIA LABORAL RUIZ-PIQUER SL                                                           ,,,ASISTENCIA GESTION LABORAL Y SEGURIDAD SOCIAL NOV                                                                                                                                   ,1165.23
Administración General.                 ,9200,22770,2018-01-30,ASESORIA LABORAL RUIZ-PIQUER SL                                                           ,,,ASISTENCIA GESTION LABORAL Y SEGURIDAD SOCIAL DIC                                                                                                                                   ,1165.23
Administración General.                 ,9200,21600,2018-01-30,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,4 CABLES RED SWITCH SERVIDORES                                                                                                                                                      ,10.24
Administración General.                 ,9200,22000,2018-01-30,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,6 CARTUCHOS AYTO                                                                                                                                                                    ,130.57
Administración General.                 ,9200,22604,2018-01-30,ASOC. NAVARRA INFORMATICA MUNICIPAL S.A                                                   ,,,VALORACION TECNICA OFERTAS WIFI PUBLICA LOCALIDADES VALLE                                                                                                                           ,649.9
Promoción de la igualdad efectiva entre ,2391,22699,2018-01-30,ASOCIACION CULTURAL MORENADA LOS ANDES                                                    ,,,DEMOSTRACION BAILE CULTURAL DIA DE LA DIVERSIDAD                                                                                                                                    ,250
Funcionamiento de centros docentes de en,3232,21200,2018-01-30,ATISAE                                                                                    ,,,CERTIFICADO INSPECCION PERIODICA  ASCENSOR CP                                                                                                                                       ,108.9
Administración General.                 ,9200,21200,2018-01-30,ATISAE                                                                                    ,,,CERTIFICADO INSPECCION PERIODICA ASCENSOR AYTO                                                                                                                                      ,108.9
Policía Local                           ,1321,21400,2018-01-30,AUTOMOCION MENDILLORRI S.A.L.                                                             ,,,LIMPIEZA CARBONILLAS+DESMONTAR Y CAMBIAR PULMON DE VACIO DACIA PM                                                                                                                   ,643.72
Servicio Social de Base                 ,2311,22799,2018-01-30,AUZO LAGUN S.COOP.                                                                        ,,,CHOCOLATE CELIACOS DIA INFANCIA                                                                                                                                                     ,26.93
Pensiones.                              ,2110,16205,2018-01-30,AXA AURORA VIDA S.A. DE SEGUROS Y REASEG                                                  ,,,POLIZA VIDA REGULARIZACION AÑO 2017                                                                                                                                                 ,122.65
Pensiones.                              ,2110,16205,2018-01-30,AXA AURORA VIDA S.A. DE SEGUROS Y REASEG                                                  ,,,SEGURO DE VIDA Y ACCIDENTE PERSONAL AYTO 01/07/2016-01/07/2017                                                                                                                      ,2520.6
"Urbanismo: planeamiento, gestión, ejecuc",1510,60900,2018-01-30,BOZAL                                                                                     ,LOPEZ                                   ,AINGERU                       ,PROYECTO+DIRECCION OBRAS RENOVACION PAVIMENTO OLAZ Y GORRAIZ                                                                                                                        ,2213.96
Promoción cultural                      ,3340,22606,2018-01-30,CAMARA OFICIAL DE COMERCIO                                                                ,,,28 H CURSOS FRANCES OCTUBRE A DICIEMBRE                                                                                                                                             ,962.55
Otros servicios comunitarios y sociales ,2399,22000,2018-01-30,CANON COPIADORAS DE NAVARRA S.L.                                                          ,,,1 TONER IMPRESORA CAF                                                                                                                                                               ,118.82
Parques y jardines                      ,1710,22199,2018-01-30,"CERRAJERIA SUKOT, S.L.                                                                    ",,,2 LLAVES JARDINES                                                                                                                                                                   ,3.99
Promoción cultural                      ,3340,22606,2018-01-30,"CHURIO MARCEN,AMAYA Y GARCIA MURILLO                                                      ",MARIA JULIANA                           ,,CURSO DE REPOSTERIA CREATIVA 1ER TRIMESTRE                                                                                                                                          ,1035
Promoción cultural                      ,3340,22606,2018-01-30,CLEN COLLEGE                                                                              ,,,48 H CLASES INGLES DICIEMBRE (35€/H)                                                                                                                                                ,1679.99
Escuelas de música                      ,3261,21900,2018-01-30,COBOS MORALES SL                                                                          ,,,REPARACION TROMBON                                                                                                                                                                  ,28.17
Empleo social protegido                 ,2419,22706,2018-01-30,COCKBURN IAN Y APESTEGUI GOÑI MANUEL                                                      ,,,CREACION IDENTIDAD CONCURSO PROMOCION COMERCIAL+IMPRESION 100 CARTEL A3+25 CARTEL A4+30 PEGATINA VINILO ESCAPARATE+200 T                                                            ,1972.3
Otros servicios de bienestar comunitario,1690,21200,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,1.82
Empleo social protegido                 ,2419,22706,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,38.24
Conservación y mantenimiento de la via p,1533,21000,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,38.48
Administración General.                 ,9200,22000,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,39.26
Escuelas infantiles                     ,3231,62900,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,56.63
Administración General.                 ,9200,21200,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,57.83
Administración General.                 ,9200,62500,2018-01-30,COMAS BERRADRE IGNACIO ROMAN                                                              ,,,2 CALEFACTORES 0-3 II+PILAS PUERTAS AYTO+2 RELOJ PM+1 CALEFACTOR CURSOS+CINTA ADHESIVA EXP IRATI                                                                                    ,72.48
Servicio Social de Base                 ,2311,22105,2018-01-30,COMERCIAL HOSTELERA DEL NORTE                                                             ,,,LIMPIEZA CON NITROGENO+REGULAR TEMPERATURA CAMARA BANCO ALIMENTOS                                                                                                                   ,186.04
Transporte público.                     ,4411,22730,2018-01-30,"COMPAÑIA NAVARRA DE AUTOBUSES, S.A.                                                       ",CONDA                                   ,,MANTENIMIENTO TRANSPORTE CONDA DICIEMBRE                                                                                                                                            ,4277.58
Empleo social protegido                 ,2412,22199,2018-01-30,"CONFEIRUÑA, S.L.                                                                          ",,,40 PARES GUANTES NITRILON ESP                                                                                                                                                       ,69.7
Escuelas infantiles                     ,3231,22100,2018-01-30,CONSTRUCCIONES JUAN BAUTISTA FLORES S.A.                                                  ,,,REFACTURACION GASTO ELECTRICIDAD 13/11/17 HASTA 14/12/17                                                                                                                            ,139.82
Limpieza viaria.                        ,1630,22709,2018-01-30,"CONTENEDORES IRUÑA, S.L.                                                                  ",,,2 CAMBIOS CONTENEDOR DICIEMBRE                                                                                                                                                      ,327.8
Parques y jardines                      ,1710,62300,2018-01-30,DENDA BRICOLAJE S.L.                                                                      ,,,1 ESCALERA ALUMINIO                                                                                                                                                                 ,387.2
Escuelas de música                      ,3261,22000,2018-01-30,"DINAFAX, S.L.                                                                             ",,,PRORROGA MANTENIMENTO IMPRESORA ESC MUSIC AYTO 01/01-31/03                                                                                                                          ,78.65
Administración General.                 ,9200,21600,2018-01-30,"DINAFAX, S.L.                                                                             ",,,PRORROGA MANTENIMENTO IMPRESORA 1 PLANTA AYTO 01/01-31/03                                                                                                                           ,78.65
Administración General.                 ,9200,21600,2018-01-30,"DINAFAX, S.L.                                                                             ",,,PRORROGA MANTENIMENTO IMPRESORA 2 PLANTA AYTO 01/01-31/03                                                                                                                           ,78.65
Administración General.                 ,9200,22000,2018-01-30,"DINAFAX, S.L.                                                                             ",,,8.837 COPIAS BN IMPRESORA PLANTA 1 (FIN 517502) 27/11-03/01                                                                                                                         ,96.23
